,park_name,census_tract
54,All People's Church Of The Apostolic Faith,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
55,Freshkills Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
56,United We Stand Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
57,Bellerose Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
58,Wood Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
59,Georgia Ave Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
60,United Block Association Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
61,Wagner Houses Pool,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
62,Open Road Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
63,Jes Good Rewards Childeren's Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
64,Baisley Pond Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
65,St. George Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
66,Marie Curie Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
67,Bennett Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
68,Triangle 90,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
69,Jennifer's Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
70,Soundview Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
71,Grace Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
72,Hook Creek Wildlife Sanctury,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
73,P.S. 34,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
74,P.S. 37,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
75,Paerdegat Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
76,P.S. 31,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
77,P.S. 30,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
78,P.S. 32,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
79,P.S./I.S. 187,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
80,Thorpe Family Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
81,Harlem Rose Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
82,Ingram Woods,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
83,Bryan Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
84,Sedgwick Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
85,Jackson-Forest Community Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
86,Cooper Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
87,London Planetree Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
88,Wegener Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
89,Short Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
90,Samuel N. Bennerson 2nd Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
91,Kimlau Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
92,Laurelton Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
93,Bryant Hill Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
94,La Isla Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
95,Conch Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
96,Fidelity Memorial Park (t),"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
97,Lt. Federico Narvaez Tot Lot,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
98,Harlem Art Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
99,Bedame Sessa Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
100,Willets Point Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
101,Shore Park and Parkway,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
102,Penn South Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
103,Almeda Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
104,Alfred E. Smith Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
105,John Vincent Daniels Jr. Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
106,Eastern Parkway Extension,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
107,Floral Vineyard,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
108,Owl's Head Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
109,Williamsbridge Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
110,Powell St Block Association,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
111,Joseph Rodman Drake Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
112,Worth Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
113,Mentone Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
114,Grand Slope,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
115,Jackson Avenue Median,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
116,Meucci Triangle,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
117,Juniper Nor Playground Tennis,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
118,Van Cortlandt's Trail,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
119,Hamilton Metz Field,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
120,Samuel Seabury Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
121,Josephine Caminiti Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
122,Pink Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
123,Boone Slope,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
124,Chester Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
125,Tramway Plaza,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
126,Holcombe Rucker Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
127,Angelo Campanero Plgd,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
128,Bicentennial Veterans Memorial Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
129,Washington Market Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
130,Ocean Parkway Malls,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
131,Valentine Varian House,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
132,Baybridge Green,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
133,Nathan Weidenbaum Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
134,Captain John R Fischer Firefighter Michael C Fiore,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
135,Youth Village,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
136,Kelly Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
137,Father Duffy Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
138,Marine Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
139,Crotona Playground (11),"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
140,Vernon New Harvest,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
141,Renaissance Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
142,Septuagesimo UNO,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
