,park_name,public_house
203,Faber Pool and Park,
204,Admiral Park,
205,Corlears Hook Park,2.0
206,Moore Homestead Playground,
207,MacArthur Park,
208,Kaltenmeier Playground,
209,Todd Memorial Square,
210,Walton Park,
211,Crowley Playground,
212,Maple Woods,
213,Lincoln Terrace / Arthur S. Somers Park,1.0
214,Major Mark Park,
215,W 124th Street Community Garden,1.0
216,Madison Community Greenthumb,
217,Siren Slope,1.0
218,P.S. 29,
219,Newport Playground,
220,P.S. 5,1.0
221,P.S. 22,
222,Athens Square,
223,P.S. 21,
224,P.S. 26,
225,P.S. 24,
226,Abe Lebewohl Park,
227,Neighborhood Park,
228,Cedar Grove Playground,
229,Bowne Playground,
230,Jerry and The Senior Gents,
231,Bunker Ponds Park,
232,Jackson Square,
233,The Creative Little Garden,
234,Van Dyke Playground,3.0
235,Fairmount Playground,
236,Jamaica Bay Park,
237,Plaza 67,
238,Mariner's Harbor Playground,1.0
239,P.s. 11 - Staten Island,
240,Peter Chahales Park,
241,Roy Wilkins Recreation Center,
242,Dream Street Park,2.0
243,Sutton Place Park,
244,Crotona Pool,
245,CPL. Thompson Park,
246,Causa Festival Garden,
247,Terrace Playground,
248,Abe Lebewohl Triangle,
249,Graniteville Quarry Park,
250,Schomberg Academy Garden,2.0
251,Prophecy Garden,
252,Barry Plaza,
253,Rockaway Community Park,2.0
254,Walt L Shemal Garden,
255,W 87th Street Garden,2.0
256,Vietnam Veterans Plaza,
257,Paerdegat Basin Park,
258,Jardin De La Familia,1.0
259,Hoe Garden,1.0
260,Century Playground,
261,Grand Ferry Park,
262,Federalist Triangle,
263,Earth People,2.0
264,Wingate Park,
265,Van Cortlandt,
266,Chiarantano Playground,
267,Vesuvio Playground,
268,Red Shed Garden,
269,Half-Nelson Playground,
270,Washington Square Park,
271,Court Square Park,
272,Irving Square Park,
273,Carter G. Woodson Children's Park,2.0
274,Seth Low Playground,
275,Ciccarone Park,
276,Haven Avenue,
277,Railroad Park,3.0
278,P.S. 209,
279,Astoria Park-zone 2,
280,Henry M. Jackson Playground,2.0
281,Flight 587 Memorial Park,
282,Bryant Triangle,1.0
283,La Plaza Cultural,2.0
284,Sunnyside Veterans Triangle,
285,Ocean Hill Playground,
286,P.O. Reinaldo Salgado Playground,
287,Sixteen Sycamores Playground,
288,Johnny Hartman Square,
289,Dorrence Brook Square (t),
290,Taaffe Playground,1.0
291,Dean Playground,
292,Pat Williams Playground,1.0
293,Kings Highway Malls,
294,Sleight Family Graveyard,
295,Fish Playground,
296,Palmetto Playground,
297,Sobelsohn Park,
298,Straus Square,3.0
299,P.S. 376,
300,A. Badillo Community Rose Garden,2.0
301,Milestone Park,
302,High Rock Park,
303,Mcdonald Triangle,
304,Sara D. Roosevelt Park,5.0
305,P.S. 117,
306,Riverdale Playground,
307,P.S. 115,
308,Hart Playground,
309,P.S. 110,
310,P.S. 119,
311,Colonel David Marcus Playground,
312,I.S. 72,
313,I.S. 73,
314,I.S. 75,
315,Steeplechase Park,1.0
316,Eastchester Playground,1.0
317,Baruch Playground,3.0
318,Jennings Park,
319,Riverside Park,
320,Aileen Ryan Rec.  Complex,
321,L/CPL Thomas P. Noonan Jr. Playground,
322,Sh'ma Yisrael,2.0
323,Cyclone Site,1.0
324,Marcy Green Center,
325,P.O. Serrano Playground,
326,Dawson Playground,1.0
327,Asser Levy Park,
328,Lou Loadti Playground,
329,I-Am-Park,1.0
330,Lindsay Triangle,
331,Seabury Park,2.0
332,Lincoln Rd Block Association,
333,Rose Hill Park,
334,Riverdale Park,
335,O'neida Triangle/rita Ley Triangle,
336,Walton Slope,
337,Grant Gore,
338,Kenkeleba House,
339,Marcus Garvey,1.0
340,Peaceful Valley Garden,1.0
341,Howard Av Block Association,1.0
342,Plaunt Triangle,
343,Edgecombe Park,
344,Mapes Pool,1.0
345,Flushing Greens,
346,East Elmhurst Playground,
347,St. James Park,
348,Patrick Van Doren Pocket Park,
349,Hammel Playground,1.0
350,Bryant Park,
351,Prospect Playground,
352,Charlie's Place,
353,McLaughlin Playground,
354,Shooters Island,1.0
355,Dry Dock,1.0
356,Project Eden,
357,D'Auria-Murphy Triangle,
358,Fishbridge Garden,
359,Garden Of Love,
360,Taylor Playground,
361,Albert J. Parham Playground,1.0
362,Jones Woods Park,
363,Printer's Park,1.0
364,Five Parks (FDR Drive),
365,Coleman Playground,
366,Stockton Playground,
367,North Meadow Recreation Center,
368,Plimpton Playground,
369,Grant Park,
370,Pueble Unido Garden,
371,Fort Greene Park,
372,Wilson Playground,
373,Crescent Park,1.0
374,Francis Lewis Playground,
375,Cobble Hill Park,
376,Frederick Douglass Playground,2.0
377,Alley Pond Park Zone 8,
378,La Perla Garden,2.0
379,Southern Parkway,3.0
380,Skate Park And Basketball Courts,
381,Battery Park,
382,Sheepshead Bay Piers,
383,Reed's Basket Willow Swamp Park,
384,James J Walker Park,
385,Fresh Meadows Playground,
386,Tilden Playground,
387,Clintonville Playground,
388,Cardozo Playground,1.0
389,River Garden,
390,Bergen Park,
391,Ketchum Triangle,
392,Detective Keith L Williams Park,1.0
393,Hoover - Manton Playgrounds,
394,Longfellow Garden,2.0
395,Stuyvesant Square,
396,Joseph Austin Playground,
397,Montefiore Square,1.0
398,Penn Triangle,
399,Gardens Of Union,
400,Sidney Hillman Playground,
401,Stop & Go Playground,
402,North Pacific Playground,
403,Montbellier Park,1.0
404,Kissena Corridor Park,
405,6BC Botanical Garden,2.0
406,Michael Crescenzo Triangle,
407,Fort Tryon Park,
408,Tremont Park,
409,Dr. Ronald E. McNair Playground,3.0
410,Harmony Park,
411,Broad Channel Wetlands,
412,Family Group Garden,1.0
413,Orchard Alley Garden,2.0
414,Kaiser Park,1.0
415,Livonia Park,3.0
416,South Shore Country Club,
417,Willoughby Playground,
418,Torsney Playground,
419,Cohn Triangle,
420,P.S. 36,
421,Brower Park,
422,Edenwald Playground,1.0
423,Catherine Slip Malls,
424,Givan Square,
425,Parks Council Success Garden,
426,Colden Playground,2.0
427,Woodtree Playground,
428,Aimee Triangle,
429,Alley Pond Park,
430,Father Fagan Square,
431,P.S. 299,1.0
432,St. Vartan Park,
433,Andrew Haswell Green Park,
434,Claremont Neighborhood Garden,2.0
435,Luther Gulick Playground,
436,Herald Square,
437,Stanton St Courts,2.0
438,The High Line,
