,park_name,public_house
1016,Toad Hall Playground,1.0
1017,Power Playground,
1018,ABC Playground,
1019,Locust Point Marina,
1020,Northerleigh Park,
1021,P.S. 314/503,
1022,P.S. 254,
1023,Spring Creek Park Addition,
1024,Frank White Neighborhood Service Center,
1025,Benjamin Gladstone Square,1.0
1026,Hollis Veterans Sq,1.0
1027,Foch Sitting Area,2.0
1028,Drumm Triangle,
1029,J. Hood Wright Park,
1030,Macri Square,
1031,Michel Square,
1032,Bedford Green,1.0
1033,Neighbors Of Vega Baja,1.0
1034,Bush Clinton Park,2.0
1035,Bradys Pond Park,
1036,Cornell Burial Ground,
1037,Lemon Creek Park,
1038,Davidson Ave. Community Gardeners Group,
1039,Veterans Grove,
1040,Success Garden,
1041,Roosevelt Triangle,1.0
1042,Ogden Plimpton Playground,
1043,Bradhurst Urban Renewal Park,3.0
1044,La Cuevita Garden,1.0
1045,Fort Stirling Park,
1046,Fraser Square,
1047,Van Alst Playground,
1048,Catholic War Veterans Square,
1049,Playground One Forty,2.0
1050,Centreville Playground,
1051,Willowbrook Park,
1052,Broadway Ped refuge,
1053,Fred Douglas,2.0
1054,Virginia Park,
1055,Berry Street Garden,
1056,Clara's Garden,1.0
1057,Ambrosini Field,
1058,Shore Road Park and Parkway,
1059,Van Cortlandt Stadium,
1060,Sophie Irene Loeb,
1061,Harlem River Park,
1062,American Triangle,
1063,Blueberry Park,
1064,Rainey Park,2.0
1065,Lyons,
1066,Big Bush Park,
1067,Coffey Park,2.0
1068,Clearview Golf Course,
1069,George Washington Carver Botanical Garden,1.0
1070,Risse Street Park,
1071,Hempstead Bench Spread,3.0
1072,"Phil ""Scooter"" Rizzuto Park",
1073,St. Albans Park,5.0
1074,Marcus Garvey Tenant's Assoc. Garden,1.0
1075,Jacob Joffe Fields,
1076,Harold Schneiderman Playground,
1077,Blissenbach Marina,
1078,Latinos Unidos Garden,1.0
1079,Carmansville Playground,1.0
1080,Stadium Area,
1081,Sobel Court Park,
1082,Elton Playground,
1083,North Brother Island,
1084,Rainbow Playground,
1085,Fox Playground,
1086,Great Kills Park,
1087,Leif Ericson Fields,
1088,Isle Of Meadows,
1089,Fermi Playground,
1090,Dr. Ronald McNair Park,
1091,Ps 186 Playground,
1092,Waterfront Garden,
1093,Bowling Green,
1094,British Garden at Hanover Square,
1095,Elizabeth Langley Memorial Garden,
1096,176th Street Community Garden,
1097,South Pacific Playground,2.0
1098,Brust Park,
1099,Mosholu Parkway,
1100,Vogue Garden,1.0
1101,Morris-Jumel Ecological Education Garden,1.0
1102,Abigail Playground,1.0
1103,Lewis H Latimer House,2.0
1104,McCaffrey Playground,
1105,Field Of Dreams Park,1.0
1106,Sheridan Triangle,
1107,Franklin D. Roosevelt Boardwalk and Beach,
1108,Amersfort Park,
1109,Powell Playground,2.0
1110,Split Rock Golf Course,
1111,D'Emic Playground,
1112,Travers Park,
1113,P.S. 236,
1114,Henry Hudson Parkway,
1115,Westbourne Playground,
1116,Nautilus Playground,
1117,Park Slope Playground,1.0
1118,Maple Grove Park,
1119,St. Nicholas Playground North,1.0
1120,Motor Parkway,
1121,Sol Lain Playground,2.0
1122,George Eagle Carr Community Gard,
1123,Bayview Terrace Park,
1124,Auburndale Playground,
1125,Captain Rivera Playground,2.0
1126,Thomas Paine Park,
1127,Sakura Park,1.0
1128,Cooper Triangle,
1129,Melrose Playground,2.0
1130,George Walker Jr. Park,
1131,Gouverneur Morris Triangle,2.0
1132,McKenna Triangle,
1133,McKinley Square,4.0
1134,Pulaski Playground,1.0
1135,Astoria Houses Playground,1.0
1136,K.l. Williams Playground (tennis),1.0
1137,Manton Playground,
1138,Carroll Park,
1139,Freedom Square Playground,
1140,Duarte Square,
1141,Redfern Playground,2.0
1142,Seton Falls Park,
1143,Sonshire Sq,
1144,Gen. Douglas MacArthur Park,1.0
1145,Ralph Demarco Park,
1146,Beach Street Park,
1147,Gene Gray Playground,
1148,Willowbrook Park Recreational Area,
1149,John R Brown Triangle,1.0
1150,Rockaway Beach 05a,
1151,Little Green Garden,2.0
1152,P.S. 243,1.0
1153,P.S. 242,
1154,P.S. 241,3.0
1155,Midland Beach Playground,
1156,Jacob Javits Plgd,
1157,P.S. 246,
1158,La Finca del Sur Community Garden,1.0
1159,P.S. 244,
1160,First Street Garden,
1161,I.S. 254,
1162,General Douglas,1.0
1163,"""Uncle"" Vito E. Maranzano Glendale Playground",
1164,Gonzalo Plasencia Playground,
1165,Castle Hill Little League,
1166,West Bronx Recreation Center,
1167,Brinkerhoff Mall,3.0
1168,Delphin H. Greene Playground,1.0
1169,Playground Eighty Nine LXXXIX,2.0
1170,Andrews Grove,
1171,Dry Harbor Playground,
1172,Rudd Playground,
1173,Powell Street Livonia Garden,
1174,Brook Park,1.0
1175,Kosciusko,
1176,Highland Park,
1177,Madison Street Block Association,
1178,Chappetto Square,
1179,Arverne Playground,1.0
1180,Arbutus Woods Park,
1181,117th St Community Garden,1.0
1182,Mall,
1183,Taylor-Soundview Block Assoc. Garden,
1184,9th St Community Garden Park,1.0
1185,Anchorage Plaza,
1186,Peck Slip,
1187,Old Gravesend Cemetary,
1188,Governor Smith Playground,2.0
1189,James Madison Plaza,
1190,Forest Mall,
1191,University Malls,
1192,Sheltering Arms,2.0
1193,Tanahey Playground,
1194,Cropsey Ave Home Depot,
1195,Midland Malls,
1196,Dubos Point Wildlife Sanctuary,2.0
1197,Riverbend Playground,1.0
1198,Marconi Park,4.0
1199,Queens Village Veterans Plaza,1.0
1200,Thomas Jefferson Pk,
1201,Nutter's Battery & Fort Clinton Site,
1202,Bath Beach Park,
1203,Huguenot Ponds Park,
1204,Mckinley's Children's Garden,4.0
1205,Twenty-six Courts & Bath Courts,
1206,Dutch Kills Playground,
1207,Graniteville Swamp Park,
1208,Mott Playground,6.0
1209,Midland Playground,
1210,Spuyten Duyvil Shorefront Park,
1211,East Parade Grounds,
1212,CS 134 Community Improvement Garden,
1213,Alben Triangle,
1214,Flood Triangle,
1215,Corona Golf Playground,
1216,Hilton Holiday Gardens,1.0
1217,Hybrid Oak Woods Park,
1218,Marcy Park South,
1219,Saratoga Park,
1220,Collect Pond Park,
1221,Fort Washington Park Zone 1,1.0
1222,St. Luke's Park,2.0
1223,Lott Park,
1224,Gorman Park,
1225,D'Onofrio Square,
1226,Sherman Creek,
1227,Westwood Park,
1228,Triangle,
1229,P.S. 58,
1230,P.S. 56,
1231,Valentino Pier,
1232,P.S. 54,
1233,P.S. 53,
1234,Downing Street Playground,
1235,P.S. 51,
1236,Sylvan Grove Cemetery,
1237,Edith Garden,2.0
1238,Mill Rock Park,2.0
1239,Jamaica Playground,1.0
1240,Garrison Playground,
1241,Captain Jacob Joseph Playground,3.0
1242,Playground of the Americas,
1243,Captain Dermody Triangle,
1244,University Place,
1245,Bayside Fields,
1246,Rev J Polite Playground,2.0
1247,Rodney Playground Center,
1248,Jacob's Ladder Playground,2.0
1249,Putt-Putt Golf Course,
1250,Sheep Meadow,
1251,De Colores Community Yard and Cultural Center,2.0
1252,Playground Eighty LXXX,
1253,Ten Eyck Playground,
1254,Morgan Playground,3.0
1255,Calvert Vaux Park,
1256,P.S. 279 Playground,
1257,Shorehaven,
1258,Sunshine Playground,2.0
1259,Dekovats Park,2.0
1260,Linden Setting Area,
1261,Quarry Ballfields,1.0
1262,Dahill Triangle,
1263,Genesis Park Community Garden,2.0
1264,Vito Locascio Field,
1265,Humacao Community Garden,1.0
1266,St. Mary's Park,
1267,Minetta Playground,
1268,Martin Luther King Jr. Playground,
1269,Abraham Lincoln Playground,1.0
1270,Harvey Park,
1271,Gladys Warren Triangle,2.0
1272,Playground Sixty Two LXII,1.0
1273,Freeman Triangle,1.0
1274,New Vision Garden,
1275,Alexander Hamilton Playground,
1276,Father Giorgio Triangle,
1277,Lt. Joseph Petrosino Park,
1278,Walt Whitman Park,
1279,Prospect Park,
1280,Mt. Carmel Triangle,
1281,Othmar Ammann Playground,2.0
1282,The Mall And Rumsey Playfield,
1283,P.s./i.s. 187 - Manhattan,
1284,Saratoga Ballfields,2.0
1285,Castle Hill Playground,
1286,Flushing Meadows Corona Park,
1287,Rocket Park,
1288,Park,
1289,Emerald Playground,
1290,Ebenezer Wesleyan Garden,2.0
1291,Bellaire Playground,1.0
1292,Luna Park,
1293,Barclay Triangle,1.0
1294,Clifton Pl Memorial Park and Garden,1.0
1295,Woodside Memorial Plaza,
1296,East River Walk,
1297,P.S. 279,
1298,Keane Square,1.0
1299,Proctor-Hopson Circle,1.0
1300,Pena Herrera Park,
1301,Beach 9 Playground,
1302,Bradhurst Ave Garden,
1303,Castle Hill Park,
1304,I.S. 285,
1305,Vladeck Park,2.0
1306,P.S. 185,1.0
1307,Northern Playground,
1308,P.S. 180,
1309,El Batey de Do?a Provi Garden,
1310,Lawrence Virgilio Playground,
1311,Annunciation Park,
1312,Coffey Square,
1313,Hines Park,2.0
1314,Howard Pool,3.0
1315,Patricia A. Brackley Park,
1316,Mount Hope Garden,
1317,Mariners Harbor Playground,
1318,Machate Circle,
1319,Decatur Playground,
1320,Stars & Stripes Playground,
1321,Bronx River Parkway,
1322,Heffernan Square (t),
1323,Aqueduct Walk,
1324,Silver Lake Golf Course,
1325,Eight Oaks Triangle,
1326,Merriam Plgd  (upper),
1327,101st St. Soccer Field,2.0
1328,Latimer Playground,1.0
1329,Lynch Triangle,
1330,Damrosch Park,
1331,Gorman Playground,
1332,Crispus Attucks Playground,
1333,Bufano Park,
1334,Hunts Point Riverside Park,
1335,LaTourette Park & Golf Course,
1336,Louis Pasteur Park,
1337,Brighton Playground,
1338,Whalen Park,
1339,East River Esplanade,
1340,Henry Hudson Park,
1341,Cross Island Parkway-Greenstreet,
1342,Lozada Playground,1.0
1343,Jordan Magic Garden,1.0
1344,Unity Gardens,
1345,Potomac Playground,
1346,Allerton Playground,1.0
1347,Barrier Playground,
1348,Andries Playground,
1349,Duke Park,
1350,Hot Spot Tot Lot,
1351,Clemens Triangle,
1352,Murphy Triangle,1.0
1353,Haven Esplanade (lower),
1354,Van Voorhees Park,
1355,Charlton Garden,2.0
1356,Linwood Playground,
1357,Lower East Side Ecology Center,2.0
1358,Archie C Ketchum Triangle,
1359,City Hall Park,
1360,Arlington Square,
1361,Admiral Farragut Playground,
1362,Chief Dennis L. Devlin Park,
1363,P.S. 48,
1364,P.S. 44,
1365,Fagan Square,1.0
1366,P.S. 47,
1367,P.S. 41,
1368,St. Mark's Block Association,4.0
1369,Lt. Lia Playground,
1370,Tappen Park,
1371,Veterans Park,
1372,Black Rock Playground,
1373,Hawkins Sitting Area-city Island,
1374,Audubon Playground,
1375,Schmul Park,
1376,Thomas Greene Playground,
1377,Tudor Malls,
1378,Queens Valley Playground,
1379,Playground,
1380,Wolfes Pond Park,
1381,Terrace Promenade South,2.0
1382,Keltch Park,
1383,Clearview Park Golf Course,
1384,Jerome Park,
1385,Pralls Island,
1386,Courtney Callender Playground,
1387,BAISLEY POND PARK,
1388,Earth Spirit Garden,
1389,Joseph Manna Park,
1390,Williamsbridge Oval,
1391,Glenmore Hendrix Block Association,1.0
1392,Poppenhusen Playground,1.0
1393,Ewen Park,
1394,Grandview Playground,1.0
1395,Banneker Playground,
1396,Tlc Sculpture Park Garden,
1397,Houston Playground,2.0
1398,Levy Playground,
1399,H.S. 690/692,1.0
1400,McKenna Square,
1401,Idlewild Park,
1402,Sol Bloom Playground,6.0
1403,Hoe Ave North Tot Lots,
1404,City Island Wetlands,
1405,Jackie Robinson Park,
1406,Ave C & 18th St,
1407,M.S. 53,
1408,Weeksville Playground,
1409,First Quincy St Block Association,1.0
1410,Utopia Playground,
1411,Manhattan Beach Park,
1412,Franklin Memorial Garden,2.0
1413,Friends Field,
1414,University Woods,
1415,Daniel Boone Playground,1.0
1416,Prospect Cemetery,
1417,P.S./I.S. 66,
1418,Jackson Mill Green,
1419,100% Playground,
1420,Volky Garden & Flowers,
1421,Hendrick I Lott House,
1422,Ten Eych Houses Hdfc,
1423,Recreation Center 54,
1424,Monsignor Raul Del Valle Square,1.0
1425,Atkins Gardeners,2.0
1426,Recreation Center 59,
1427,Van Cortlandt Golf Course,
1428,Macneil Park,
1429,Dodger Playground,
1430,Clearview Park,
1431,Hockey Rink,
1432,Rosedale Bus Stop,
1433,Playground Ninety,
1434,Washington Park,
1435,Sheridan Square Viewing Garden,
1436,Isham Park,
1437,Field of Dreams,
1438,John Paul Jones Park,
1439,Hunts Point Playground,1.0
1440,John J Carty Park,
1441,Douglaston Park Golf Course,
1442,Sheepshead Playground,
1443,P.S. 268,
1444,Fort Washington Park,
1445,De Witt Clinton Park,1.0
1446,Eae J Mitchell Park,2.0
1447,Isla Verde Garden,1.0
1448,Victory Field,
1449,Ramon Aponte Park,
1450,Broad Channel Park,
1451,East River Park,
1452,P.S. 199,
1453,P.S. 197,
1454,P.S. 195,
1455,P.S. 193,
1456,P.S. 190,
1457,Asser Levy Playground,
1458,Peter Detmold Park,
1459,De Matti Playground,
1460,Pigeon Plaza,
1461,Veterans Triangle,
1462,Cherry Clinton Playground,2.0
1463,Dunningham Triangle,
1464,Co-op City Field,
1465,Broadway Malls,
1466,CEP Community Garden,
1467,Olmsted-Beil House Park,
1468,East Drive & 93rd Street,2.0
1469,Underbridge Dog Run,
1470,South Shore Golf Course,
1471,Mullaly Park,
1472,Raymond Bush Playground,
1473,Little Flower Playground,3.0
1474,Margaret I. Carman Green - Weeping Beech,
1475,Gravesend Triangle,
1476,Verdi Square,
1477,The Painter's Playground,
1478,Bowne Park,
1479,FEDEROFF TRIANGLE,
1480,One Room Schoolhouse Park,
1481,Carver Playground,
1482,Abe Lincoln,1.0
1483,Wayanda Park,2.0
1484,Julio Carballo Fields,1.0
1485,Eugene McCabe Field,1.0
1486,Hancock T and T,
1487,Hoyt Playground,
1488,Charybdis Playground,
1489,Throgs Neck Park,
1490,Lafayette Gardens Playground,1.0
1491,Ranaqua Park,3.0
1492,Hollis Playground,1.0
1493,Clark Playground,5.0
1494,Hugh J. Grant Circle,
1495,Siedenburg Park,
1496,Prescott Playground,
1497,Owen F. Dolen Park,
1498,Ferry Point Park,
1499,Park Avenue Malls,
1500,Drew Playground,2.0
1501,Sunken Plgd,
1502,Garibaldi Playground,
1503,Grand Canal Court,
1504,P.S. 79,
1505,Firemen's Memorial Garden,2.0
1506,Surf Playground,4.0
1507,Rockaway Beach,
1508,P.S. 76,
1509,Jacob Riis Triangle,
1510,Peter's Field,
1511,Grand Army Plaza,
1512,Webster Playground,1.0
1513,Behagen Playground,1.0
1514,211 Malls,6.0
1515,Gordon Triangle,
1516,Farmers Garden,2.0
1517,Pigeon Paradise,
1518,Metropolitan Recreation Center,
1519,Flatbush Malls,
1520,Burns Playground,
1521,The Lion's Playground,2.0
1522,Transmitter Park,
1523,Union Square Park,
1524,Victory Garden's Group,
1525,TRUCE Garden,3.0
1526,Bronx River Playground,2.0
1527,Leif Ericson Drive,
1528,William B. Washington Memorial Garden,
1529,Howard,3.0
1530,McDonald Playground,
1531,Dodgers Triangle,
1532,Hart To Hart,
1533,Bellevue South Park,2.0
1534,Devanney Triangle,
1535,Seton Park,
1536,Howard Malls,1.0
1537,Vleigh Playground,
1538,Thomas Boyland Park,
1539,West Farms Soldiers Cemetery,1.0
1540,Underhill Playground,
1541,Vincent F. Albano Jr. Playground,
1542,Marc And Jason's Playground,
1543,Morris Mesa,
1544,Windmuller,
1545,Generation X,2.0
1546,MacDonald Park,
1547,Matthews Muliner Playground,
1548,Dias Y Flores,
1549,Tony Dapolito Recreation Center,
1550,Pulaski Park,
1551,Flatbush Mall,
1552,P.S. 149 Artsy Bloom Community Garden,
1553,Roebling Playground,
1554,Beach Channel Playground,1.0
1555,Big Red Garden,
1556,Red Gate Garden,
1557,Lt. Frank McConnell Park,
1558,Tiger Playground,1.0
1559,John Golden Park,
1560,Joseph C. Sauer Park,
1561,St. Catherine's Park,
1562,Ten Eyck Plaza,
1563,Garden Party,
1564,Glenwood Landing,
1565,Devoe Park,
1566,Bergen Triangle,
1567,Margrichante Garden,
1568,P.S. 215,
1569,Sgt. Johnson Triangle,
1570,P.S. 217,
1571,Tompkinsville Park,
1572,Kathy Reilly Triangle,
1573,Dag Hammarskjold Plaza,
1574,Pleasant Park Garden,
1575,Locust Grove Civic Triangle,
1576,McLaughlin Park,
1577,Monsignor Kett Playground,1.0
1578,Bulova Park,
1579,Doughboy Plaza,
1580,I.S. 135,1.0
1581,Macombs Dam Park,
1582,Turtle Playground,
1583,Whitey Ford Field,
1584,Greenbelt Native Plant Center,
1585,Nelson Playground,2.0
1586,John Jay Park,
1587,I.S. 201/M.S. 424,
1588,St Mary's Playground West,1.0
1589,Las Casitas Community Garden,2.0
1590,Pinocchio Playground,
1591,P.S. 321,
1592,Crotona Park,
1593,Russell Sage Playground,
1594,Schneider Sampson Square,
1595,P.S. 328,2.0
1596,Pomonok Playground,1.0
1597,Cedar Playground,
1598,William F Moore Park,
1599,P.S. 144,
1600,Rosemary's Playground,
1601,Ferris Family Burial Plot,
1602,Ps 321 William Penn,
1603,Betsy Head Park,
1604,Charlton Plaza,
1605,Yankee Stadium Baseball Field,
1606,A.R.R.O.W. Field House,
1607,Vernon Mall,
1608,I.S. 25,
1609,Stanley Isaacs Playground,4.0
1610,Lyons Pool,
1611,Msgr. McGolrick Park,
1612,Haviland Playground,
1613,Havemeyer Playground,
1614,John Hancock Playground,
1615,Beattie Square (t),1.0
1616,Brevoort Playground,1.0
1617,Newcombe Square,
1618,Neponsit Mall,
1619,Nicholas Naquan Heyward Jr. Park,1.0
1620,Patterson Playground,1.0
1621,Heath Triangle,1.0
1622,Middleton Playground,
1623,Alexander's Alley,1.0
1624,Dwyer Square,
1625,Dyker Beach Park,
1626,Sam Leggio Triangle,
1627,Barrett Park,
1628,16 Linden Trees Triangle,
1629,Arbor Place,1.0
1630,Whalen Grove,
1631,Fountain Of Youth Playground,1.0
1632,Bronx Park Zone 3,
1633,Yak Playground,
1634,Bronx Park Zone 1,
1635,Rodney Park South,
1636,Southside Burial Ground,
1637,David J O'Connell Square,
1638,Steinmann Triangle,
1639,Crystal Wells Block Association,
1640,Rachel Carson Playground,
1641,Rodney Playground North,
1642,Korean War Veterans Plaza,
1643,LaGuardia Landing Lights,
1644,Ridgewood/Bushwick Youth Center,1.0
1645,Victory Garden,
1646,Commodore Berry,1.0
1647,Peters Field,6.0
1648,Cooney Grauer Field,1.0
1649,Sean's Place,
1650,Stebbins Playground,2.0
1651,El Sol Brilliante Jr,
1652,Abingdon Square,
1653,Abe Stark Skating Rink,1.0
1654,El Batey Borincano Garden,2.0
1655,Bath Playground,
1656,Asser Levy,
1657,Bay Terrace Playground,
1658,Marble Hill Playground,2.0
1659,Queensbridge Park,
1660,Ps 46 Playground,1.0
1661,P.S. 64,
1662,Southern Fields,
1663,P.S. 60,
1664,Alice Austen Park,1.0
1665,P.S. 68,
1666,P.S. 69,
1667,Noble Playground,
1668,P.S. 76 Garden,1.0
1669,Wade Triangle,1.0
1670,Martin Luther Playground,
1671,Poseidon Playground,1.0
1672,Maurice A Fitzgerald Playground,
1673,Coney Island Boat Basin,
1674,Umma Park,
1675,Dunbar Playground,2.0
1676,Hilton White Playground,2.0
1677,Harry Maze Playground,
1678,Playground For All Children,
1679,Astoria Heights Playground,
1680,Trinity Park,1.0
1681,Canarsie Park,
1682,Christopher Park,
1683,Louis Armstrong Playground,
1684,Howard Bennett Playground,
1685,Woodycrest Community Garden,
1686,Yu Suen Garden,1.0
1687,Sperge Park,
1688,Overlook Park,
1689,Minetta Green,
1690,Commodore Barry Park,1.0
1691,Pelham Bay Park,
1692,Jerome Playground South,
1693,Battery Park City,
1694,Highbridge Park,
1695,Kolbert Playground,
1696,St. Gregory's Playground,2.0
1697,Plaza Lafayette,
1698,Crocheron Park,
1699,Saul Weprin Playground,
1700,Columbus Square,
1701,Avenue R Mall,
1702,Yankee Stadium Garages/Lots,
1703,Moore Playground,
1704,McKee Triangle,
1705,Middle Village Veterans Triangle,
1706,Samuel Goldberg Triangle,
1707,Meredith Woods,
1708,El Shabazz Playground,
1709,St Lawrence Triangle,
1710,Riverside Park South,
1711,Loreto Playground,
1712,Roger Morris Park,1.0
1713,Lillian D Wald Playground,2.0
1714,Welcome Home Garden,
1715,Carlos R. Lillo Park,
1716,Oracle Playground,
1717,I.s. 90 - Manhattan,
1718,Brisas Del Caribe,2.0
1719,Equity Park,
1720,Long Island College Hospital,
1721,Laurelton Parkway West,1.0
1722,Conservatory Garden,
1723,Briarwood Playground,
1724,Annadale Playground,
1725,Greencroft Playground,
1726,Woodrow Wilson Triangle,
1727,Mount Eden Malls,
1728,P.S. 208,
1729,P.S. 205,
1730,P.S. 203,
1731,Glenwood Playground,1.0
1732,Miracle Garden,
1733,Technical Sergeant Thomas J. Davey Triangle,
1734,Bloomingdale Park,
1735,I.S. 123,
1736,Pfc Norton Playground,
1737,Winfield Plaza,
1738,Midland Field,
1739,Lafayette Square,
1740,Canal Park,
1741,Fruit Street Sitting Area,
1742,Bland Playground,1.0
1743,Hunter's Point Park,
1744,Human Compass Garden,
1745,Sunset Park,
1746,Carl Schurz Park,
1747,Gun Hill Playground,1.0
1748,Frederick B. Judge Playground,
1749,Summit Street Community Garden,
1750,Happy Warrior Playground,
1751,Catbird Playground,
1752,Minetta Triangle,
1753,Graham Triangle,1.0
1754,Markham Playground,
1755,People's Park,4.0
1756,Buddy Monument,
1757,Mother Cabrini Park,
1758,Sgt. William Dougherty Playground,1.0
1759,King Fisher Park,
1760,P.S. 159,
1761,Nassau Mall,
1762,Tiffany Playground,1.0
1763,P.S. 153,
1764,P.S. 152,
1765,P.S. 150,
1766,Silver Lake Park,
1767,Springfield Park,2.0
1768,St Mary's Playground East,1.0
1769,Railroad Playground,
1770,Little Bay Park,
1771,I.S. 34,
1772,Fort Hamilton Memorial Park,
1773,Maria Hernandez Park,
1774,Elton St Block Association,
1775,Sixteen Oaks Grove,1.0
1776,Kingsbridge Heights Community Center,1.0
1777,Richmond Terrace Storehouse,
1778,Wanaqua Garden,3.0
1779,North Shore Esplanade,3.0
1780,Breukelen Ballfields,1.0
1781,Kosciuszko Street Garden,1.0
1782,Magenta Playground,1.0
1783,I.S./P.S. 89,
1784,Evergreen Park,
1785,Pleasant Village Community Garden,
1786,Daniel Carter Beard Mall,
1787,Thomas Jefferson,
1788,Tilyou Playground,
1789,Slope Park,
1790,Parque De Los Ninos,
1791,SSG PATBOUVIER E BOBBY ORTIZ T,
1792,Sports Park,
1793,Bridge Park,
1794,Church Triangle,
1795,River Avenue Parks,
1796,I.S. 45,
1797,Farm Playground,
1798,Sitting Area,
1799,James Weldon Johnson Playground,1.0
1800,Cadman Plaza Park,
1801,Clement Clarke Moore Park,1.0
1802,Greenstreets,
1803,700 Decatur St Block Association,1.0
1804,Daly Ave Garden,
1805,Lost Battalion Hall Recreation Center,
1806,Elmjack Mall,
1807,Arden Woods,
1808,Forest Park Golf Course,
1809,Mount Hope Playground,
1810,William F. Passannante Ballfield,
1811,E 4th Street Garden,
1812,Central Park,
1813,P.S. 11,
1814,Tottenville Pool,
1815,Mobilization For Change,
1816,P.S. 15,
1817,P.S. 19,
1818,P.S. 18,1.0
1819,Gregory's Garden,
1820,P.S. 112,
1821,Springfield Park North,2.0
1822,Poe Park,
1823,Arcilla Playground,1.0
1824,Elmhurst Park,
1825,Public Place,
1826,Paul Raimonda Playground,
1827,Shield Of Faith,
1828,Locust Manor Playground,3.0
1829,City Line Park,
1830,Rockaway Beach Boardwalk,
1831,Brooklyn Heights Promenade,
1832,Hollis Court Malls,
1833,Socrates Sculpture Park,1.0
1834,Skyline Playground,
1835,Cuyler Gore Park,1.0
1836,Goodwin Gardens,
1837,Cedar Tree Garden,1.0
1838,New Dorp Park,
1839,St. Ann's Block Association Garden,2.0
1840,Allison Pond Park,
1841,Rolf Henry Playground,1.0
1842,Silver Lake Park Zone 1,
1843,Watson Gleason Playground,
1844,Phyliss Post Goodman Park,
1845,Clumber Corner,
1846,Hamilton Fish Park,2.0
1847,Harris Garden,1.0
1848,Jacob H. Schiff Playground,1.0
1849,Lot,
1850,Herbert Von King Park,1.0
1851,Stars Of Hope,
1852,Fresh Creek Nature Preserve,
1853,Pier 107 CVII,2.0
1854,Kennedy Playground,
1855,Travis Triangle,
1856,Alley Park,
1857,Seaside Playground,
1858,Clove Lakes Park,
1859,Bridge and Tunnel Park,
1860,Santos White Garden,2.0
1861,Triborough Bridge Playground B,
1862,Triborough Bridge Playground E,
1863,Queensboro Oval,
1864,Family Community Garden,
1865,Trygve Lie Plaza,
1866,Imagination Playground,
1867,Mercer Playground,
1868,Merriam Plgd. (lower),
1869,Cherry Tree Park,2.0
1870,Nassau Mall South,
1871,Old Town Playground,1.0
1872,Boerum Park,
1873,Ravenswood Playground,1.0
1874,Blood Root Valley,
1875,Bailey Playground,
1876,Martin Luther King Triangle,
1877,P.S. 186,
1878,Fordham Landing Playground,1.0
1879,Whitestone Playground,
1880,Columbus Park,
1881,Madison Square Park,
1882,Block Association #81,1.0
1883,Franklin Triangle,2.0
1884,Peace Park,
1885,Duane Park,
1886,Muller Triangle,
1887,Garden,
1888,Pleasant Plains Plaza,
1889,P.S. 238,
1890,Breininger Park,
1891,Prall Playground,
1892,The Public Theater,
1893,Samuel H. Young Park,
1894,Woodruff Playground,
1895,Flagship Park,
1896,Donnellan Square,
1897,Concerned Residents of Barbey Street,
1898,Playground 286,
1899,Dugan Playground,
1900,Clinton Playground,
1901,DeSalvio Playground,
1902,P.S. 306,
1903,Gilbert Ramirez Park,
1904,The Secret Garden,2.0
1905,P.S. 62,
1906,Reiff Playground,
1907,Miele Park,
1908,Parade Ground North,
1909,Sunners Playground,
1910,P.S. 164,
1911,P.S. 161,
1912,Bruckner Playground,
1913,Hull Street Garden,1.0
1914,Dante Park,
1915,Marcy Playground,1.0
1916,Garden Playground,
1917,St. Nicholas - Powers St. Garden,
1918,Lady Moody Triangle,
1919,Rev. Linnette C Williamson Memorial Park,
1920,Grassmere Playground,1.0
1921,St. John's Recreation Center,
1922,Rainbow Garden,2.0
1923,Adam Clayton Powell Jr. Malls,6.0
1924,Dongan Playground,
1925,Garrison Park,1.0
1926,Sumner Playground,1.0
1927,Wishing Well Garden,1.0
1928,Hester St Plgd,1.0
1929,Broad Channel American Park,
1930,Joan Of Arc Park,
1931,Wright Brothers Playground,1.0
1932,Sumpter Community Garden,
1933,Prospect Heights Community Farm,
1934,Allied Productions/Le Petit Versailles,
1935,East Flatbush Children's Park,2.0
1936,Walton Walk,
1937,Veterns Circle,
1938,Tecumseh Playground,
1939,Palmer Inlet,
1940,Amboy Neighborhood Center,1.0
1941,Convent Garden,1.0
1942,West 4th Street Courts,
1943,Dr. Green Playground,2.0
1944,Alley Athletic Playground,
1945,Nellie Bly Park,
1946,Glenwood Houses,1.0
1947,Community Of Poor People In Action,2.0
1948,Diamante Garden,1.0
1949,Gutenberg Playground,
1950,Lafayette Playground,
1951,Clearview's Tail,1.0
1952,Wards Island Park,
1953,Dr. Gertrude B. Kelly Playground,1.0
1954,Tompkins Square Park,
1955,Junction Playground,
1956,132 St Block Association Park,
1957,Herbal Garden,
1958,Good Shepherds Garden,
1959,First Park,
1960,Cypress Hills Playground,1.0
1961,P.S./I.S. 194,
1962,Starlight Park,1.0
1963,Memorial Gore (t),
1964,Park Of The Americas,
1965,Bar and Grill Park,
1966,Pratt Playground,
1967,5th St Slope Garden,2.0
1968,Seth Low Playground/ Bealin Square,
1969,Sunrise Playground,
1970,North 5th Street Pier,
1971,The Pearly Gates,
1972,William Simmons Community Garden Club,1.0
1973,Pierrepont Playground,
1974,Fairview Park,
1975,Kosciuszko Pool,
1976,Greenwood Playground,
1977,Laurelton Parkway,
