PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2015-q1,barrett park,STATEN ISLAND,8.108,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,rainey park queens,QUEENS       ,8.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,laguardia landing lights,QUEENS       ,8.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,city island wetlands,BRONX        ,8.005,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,sara d. roosevelt park,MANHATTAN    ,7.85,ONE ACRE OR LARGER,0,0,0,1,0,3,1,5
2015-q1,ewen park,BRONX        ,7.84,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,herbert von king park,BROOKLYN     ,7.819,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,mount prospect park,BROOKLYN     ,7.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,rainey park bronx,BRONX        ,7.738,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,detective keith l williams park,QUEENS       ,7.683,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,flushing fields,QUEENS       ,7.671,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,palmer inlet,BRONX        ,7.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,midland field,STATEN ISLAND,7.463,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,schmul park,STATEN ISLAND,7.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bridge park bronx,BRONX        ,7.156,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,beach 30th street playground,QUEENS       ,7.122,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,brower park,BROOKLYN     ,7.047,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,joyce kilmer park,BRONX        ,6.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,maria hernandez park,BROOKLYN     ,6.873,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,the high line,MANHATTAN    ,6.73,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,friends field,BROOKLYN     ,6.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,lindower park,BROOKLYN     ,6.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,j. hood wright park,MANHATTAN    ,6.699,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,wnyc transmitter park,BROOKLYN     ,6.611,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,spuyten duyvil shorefront park,BRONX        ,6.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,park avenue malls,MANHATTAN    ,6.593,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,westwood park,STATEN ISLAND,6.563,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,union square park,MANHATTAN    ,6.51,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2015-q1,concrete plant park,BRONX        ,6.438,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
2015-q1,col. young playground,MANHATTAN    ,6.423,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bradys pond park,STATEN ISLAND,6.402,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,cooper park,BROOKLYN     ,6.401,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,gravesend park,BROOKLYN     ,6.379,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,dr. charles r. drew park,QUEENS       ,6.336,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,trinity park,BROOKLYN     ,6.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,madison square park,MANHATTAN    ,6.234,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,elmhurst park,QUEENS       ,6.219,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,fort hamilton athletic field,BROOKLYN     ,6.194,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,ambrosini field,BRONX        ,6.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,clearview park,QUEENS       ,6.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,ralph demarco park,QUEENS       ,6.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,wingate park,BROOKLYN     ,5.888,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,unnamed park on drumgoole road & huguenot avenue,STATEN ISLAND,5.848,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,de witt clinton park,MANHATTAN    ,5.829,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,unnamed park on boundary avenue,STATEN ISLAND,5.765,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,van voorhees park,BROOKLYN     ,5.739,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hallets cove playground,QUEENS       ,5.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,mckinley park,BROOKLYN     ,5.655,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,southern fields,QUEENS       ,5.593,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,devoe park,BRONX        ,5.44,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,st. michael's playground,QUEENS       ,5.43,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2015-q1,kennedy playground,QUEENS       ,5.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,mafera park,QUEENS       ,5.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,seagirt ave wetlands,QUEENS       ,5.323,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,john paul jones park,BROOKLYN     ,5.317,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,walker park,STATEN ISLAND,5.278,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,old place creek park,STATEN ISLAND,5.233,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hoover - manton playgrounds,QUEENS       ,5.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,gen. douglas macarthur park,STATEN ISLAND,5.165,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,grover cleveland playground,QUEENS       ,5.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,police officer edward byrne park,QUEENS       ,4.966,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,cypress hills playground,BROOKLYN     ,4.947,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,seth low playground/ bealin square,BROOKLYN     ,4.945,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,kelly park,BROOKLYN     ,4.896,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,socrates sculpture park,QUEENS       ,4.893,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,beach 9 playground,QUEENS       ,4.863,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,south beach wetlands,STATEN ISLAND,4.794,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,naples playground,STATEN ISLAND,4.784,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,raoul wallenberg forest,BRONX        ,4.73,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,west harlem piers,MANHATTAN    ,4.712,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,sports park,STATEN ISLAND,4.647,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,washington's walk,BRONX        ,4.637,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,cambria playground,QUEENS       ,4.635,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,marconi park,QUEENS       ,4.635,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,valentino pier,BROOKLYN     ,4.525,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,graniteville quarry park,STATEN ISLAND,4.465,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,montbellier park,QUEENS       ,4.427,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,quarry ballfields,BRONX        ,4.417,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,richman (echo) park,BRONX        ,4.385,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,jerome park,BRONX        ,4.359,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,corlears hook park,MANHATTAN    ,4.355,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,"phil ""scooter"" rizzuto park",QUEENS       ,4.353,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,asphalt green,MANHATTAN    ,4.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,faber pool and park,STATEN ISLAND,4.339,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,machate circle,BROOKLYN     ,4.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hamilton fish park,MANHATTAN    ,4.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,tiffany street pier,BRONX        ,4.231,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,kingdom pond park,STATEN ISLAND,4.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,columbus park brooklyn,BROOKLYN     ,4.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,stapleton playground,STATEN ISLAND,4.096,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,sternberg park,BROOKLYN     ,4.044,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,colucci playground,BRONX        ,4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,northerleigh park,STATEN ISLAND,3.955,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,stuyvesant square,MANHATTAN    ,3.928,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,last chance pond park,STATEN ISLAND,3.903,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,chelsea park,MANHATTAN    ,3.9,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,fordham landing playground,BRONX        ,3.9,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,north 5th street pier and park,BROOKLYN     ,3.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,haggerty park,QUEENS       ,3.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,jacob h. schiff playground,MANHATTAN    ,3.852,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,grant park,BRONX        ,3.85,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,east elmhurst playground,QUEENS       ,3.827,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,joseph austin playground,QUEENS       ,3.814,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,unnamed park on rockaway boardwalk & crest road,QUEENS       ,3.809,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,lincoln center plaza,MANHATTAN    ,3.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,ingram woods,STATEN ISLAND,3.77,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,farm playground,QUEENS       ,3.757,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hinton park,QUEENS       ,3.735,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,louis pasteur park,QUEENS       ,3.673,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,whitey ford field,QUEENS       ,3.622,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,pomonok playground,QUEENS       ,3.596,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,clawson playground,STATEN ISLAND,3.593,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bennett rest,MANHATTAN    ,3.567,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,governor smith playground,BRONX        ,3.564,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,paerdegat park,BROOKLYN     ,3.56,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,amersfort park,BROOKLYN     ,3.557,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,city line park,BROOKLYN     ,3.552,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bailey playground,BRONX        ,3.533,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,nautilus playground queens,QUEENS       ,3.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,vinmont veteran park,BRONX        ,3.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,mcdonald playground brooklyn,BROOKLYN     ,3.485,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,the olde towne of flushing burial ground,QUEENS       ,3.474,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,wegener park,STATEN ISLAND,3.464,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,unnamed park on beach channel drive & beach 89th to old beach 88th street,QUEENS       ,3.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,julio carballo fields,BRONX        ,3.428,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,grady playground,BROOKLYN     ,3.403,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,breininger park,QUEENS       ,3.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,co-op city field,BRONX        ,3.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,st. michael's park,QUEENS       ,3.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,greenwood playground,BROOKLYN     ,3.39,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,st. andrew's playground,BROOKLYN     ,3.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,seward park,MANHATTAN    ,3.361,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,behagen playground,BRONX        ,3.348,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,dugan playground,STATEN ISLAND,3.333,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,evergreen park,QUEENS       ,3.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,john jay park,MANHATTAN    ,3.312,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,university woods,BRONX        ,3.306,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,watson gleason playground,BRONX        ,3.301,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,tottenville pool,STATEN ISLAND,3.259,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,vito locascio field,QUEENS       ,3.258,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,callahan-kelly playground,BROOKLYN     ,3.253,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,judge moses weinstein playground,QUEENS       ,3.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,columbus park at manhattan,MANHATTAN    ,3.233,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,greencroft playground,STATEN ISLAND,3.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bill brown playground,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0,0,0,0,1,0,0,1
2015-q1,saratoga park,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,scarangella park,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,jamaica playground,QUEENS       ,3.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,noble playground,BRONX        ,3.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,marcy playground,BROOKLYN     ,3.201,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,lyons pool,STATEN ISLAND,3.195,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,wayanda park,QUEENS       ,3.17,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,american veterans memorial pier,BROOKLYN     ,3.169,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,holcombe rucker park,MANHATTAN    ,3.125,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,jesse owens playground,BROOKLYN     ,3.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,east river walk,MANHATTAN    ,3.089,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,park of the americas,QUEENS       ,3.076,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,brooklyn heights promenade,BROOKLYN     ,3.035,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,j.j. byrne playground,BROOKLYN     ,3.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hero park,STATEN ISLAND,3.024,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,nostrand playground,BROOKLYN     ,3.023,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,fort independence playground,BRONX        ,3.02,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,brownsville playground,BROOKLYN     ,3.017,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,grandview playground,STATEN ISLAND,3.014,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,lawrence virgilio playground,QUEENS       ,3.009,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,jacob joffe fields,BROOKLYN     ,2.984,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,classon playground at classon avenue & kent,BROOKLYN     ,2.982,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,utopia playground,QUEENS       ,2.98,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bath beach park,BROOKLYN     ,2.964,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,glen oaks oval,QUEENS       ,2.948,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,merriam playground,BRONX        ,2.944,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,poseidon playground,BROOKLYN     ,2.944,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,robert e. venable park,BROOKLYN     ,2.939,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,lefferts playground,QUEENS       ,2.937,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,walt whitman park,BROOKLYN     ,2.913,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,westerleigh park,STATEN ISLAND,2.889,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,peters field,QUEENS       ,2.872,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,delphin h. greene playground,QUEENS       ,2.861,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hoffman park,QUEENS       ,2.857,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,markham playground,STATEN ISLAND,2.836,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,sperandeo brothers playground,BROOKLYN     ,2.799,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bushwick playground on knickerbocker avenue,BROOKLYN     ,2.783,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,irving square park,BROOKLYN     ,2.76,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,st. vartan park,MANHATTAN    ,2.759,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,ravenswood playground,QUEENS       ,2.758,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,gorman playground,QUEENS       ,2.755,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,louis cuvillier park,MANHATTAN    ,2.752,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,grace playground,BROOKLYN     ,2.744,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,green central knoll,BROOKLYN     ,2.741,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,detective william t. gunn park,QUEENS       ,2.719,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,holy cow playground,QUEENS       ,2.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,bayside fields,QUEENS       ,2.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hickman playground,BROOKLYN     ,2.656,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,arbutus woods park,STATEN ISLAND,2.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,stars & stripes playground,BRONX        ,2.646,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,p.o. serrano playground,BRONX        ,2.618,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,coleman playground,MANHATTAN    ,2.61,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2015-q1,margaret i. carman green - weeping beech,QUEENS       ,2.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,kathy reilly triangle,BROOKLYN     ,2.589,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,riverdale playground,BRONX        ,2.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,marie curie park,QUEENS       ,2.552,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,edenwald playground,BRONX        ,2.537,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,thomas greene playground,BROOKLYN     ,2.525,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,murray playground,QUEENS       ,2.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,big bush park,QUEENS       ,2.5,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,bathgate playground,BRONX        ,2.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,joseph rodman drake park,BRONX        ,2.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,indepence park sylvan grove cemetery,STATEN ISLAND,2.476,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,alley park,QUEENS       ,2.446,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,frederick johnson playground,MANHATTAN    ,2.445,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,damrosch park,MANHATTAN    ,2.443,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,asser levy playground,MANHATTAN    ,2.436,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,harry maze playground,BROOKLYN     ,2.427,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,lost battalion hall recreation center,QUEENS       ,2.412,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,dutch kills playground,QUEENS       ,2.4,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,kosciuszko pool,BROOKLYN     ,2.391,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,west playground,BROOKLYN     ,2.387,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,homecrest playground,BROOKLYN     ,2.372,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,de matti playground,STATEN ISLAND,2.335,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,poe park,BRONX        ,2.331,ONE ACRE OR LARGER,0,0,0,2,0,0,0,2
2015-q1,overlook park,QUEENS       ,2.327,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,baruch playground,MANHATTAN    ,2.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,floyd patterson ballfields,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,osborn playground,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,railroad playground,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,triboro plaza,MANHATTAN    ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,power playground,BROOKLYN     ,2.295,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,monsignor crawford field,BROOKLYN     ,2.291,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,martin luther king jr. playground,BROOKLYN     ,2.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,p.o. reinaldo salgado playground,BROOKLYN     ,2.289,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,carlton park at carlton avenue & foster road,STATEN ISLAND,2.288,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,century playground,BROOKLYN     ,2.282,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,south pacific playground,BROOKLYN     ,2.264,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,north shore esplanade,STATEN ISLAND,2.252,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,fox playground brooklyn,BROOKLYN     ,2.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,vleigh playground,QUEENS       ,2.243,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,laredo avenue parcel,STATEN ISLAND,2.223,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,frederick b. judge playground,QUEENS       ,2.217,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,belmont playground bronx,BRONX        ,2.213,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2015-q1,mahoney playground,STATEN ISLAND,2.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,anchorage plaza,BROOKLYN     ,2.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,astoria heights playground,QUEENS       ,2.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,hoyt playground,QUEENS       ,2.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,loreto playground,BRONX        ,2.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2015-q1,harding park,BRONX        ,2.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
