PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014-q3,crotona park,BRONX        ,127.5,ONE ACRE OR LARGER,0,0,3,0,1,5,1,10
2014-q3,paerdegat basin park,BROOKLYN     ,118.795,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,hook creek park,QUEENS       ,111.163,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,crescent beach park,STATEN ISLAND,110.96,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,clearview park golf course,QUEENS       ,110.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,baisley pond park,QUEENS       ,109.609,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,pelham parkway,BRONX        ,108.91,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,pralls island,STATEN ISLAND,107.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,mariners marsh park,STATEN ISLAND,107.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,douglaston park golf course,QUEENS       ,104.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,lemon creek park,STATEN ISLAND,104.545,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,spring creek park,BROOKLYN/QUEENS,99.566,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,high rock park,STATEN ISLAND,94.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,long pond park,STATEN ISLAND,91.948,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,brookville park,QUEENS       ,89.946,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2014-q3,isle of meadows,STATEN ISLAND,87.516,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,calvert vaux park,BROOKLYN     ,85.527,ONE ACRE OR LARGER,0,0,1,0,0,3,0,4
2014-q3,pugsley creek park,BRONX        ,83.615,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2
2014-q3,snug harbor cultural center,STATEN ISLAND,83.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,mosholu parkway,BRONX        ,80.936,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2014-q3,mcguire fields,BROOKLYN     ,77.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,fresh creek nature preserve,BROOKLYN     ,77.044,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,jackie robinson parkway,BROOKLYN/QUEENS,72.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,fort tryon park,MANHATTAN    ,67.213,ONE ACRE OR LARGER,0,0,3,0,0,1,0,4
2014-q3,riverside park south,MANHATTAN    ,66.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,eastern parkway,BROOKLYN     ,65.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,four sparrow marsh,BROOKLYN     ,64.665,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,fort totten park,QUEENS       ,60.394,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,astoria park,QUEENS       ,59.956,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,laurelton parkway,QUEENS       ,59.612,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
