,park_name,census_tract,ct,household,median_income
1051,Willowbrook Park,"1400000US36085027301,",['1400000US36085027301'],1452,71724.0
1052,Broadway Ped refuge,"1400000US36061005200,",['1400000US36061005200'],1465,168375.0
1053,Fred Douglas,"1400000US36061018900,",['1400000US36061018900'],5037,28158.0
1054,Virginia Park,"1400000US36005021602,",['1400000US36005021602'],2517,41487.0
1055,Berry Street Garden,"1400000US36047055100,",['1400000US36047055100'],2328,63613.0
1056,Clara's Garden,"1400000US36047115200,",['1400000US36047115200'],1000,32500.0
1057,Ambrosini Field,"1400000US36005051600,",['1400000US36005051600'],1913,76771.0
1058,Shore Road Park and Parkway,"1400000US36047003400,",['1400000US36047003400'],1360,69848.0
1059,Van Cortlandt Stadium,"1400000US36005043500,",['1400000US36005043500'],17,42750.0
1060,Sophie Irene Loeb,"1400000US36061000800,",['1400000US36061000800'],3591,27137.0
1061,Harlem River Park,"1400000US36061024200,1400000US36061021000,1400000US36061024302,1400000US36061031100,1400000US36061029900,1400000US36061023600,","['1400000US36061024200', '1400000US36061021000', '1400000US36061024302', '1400000US36061031100', '1400000US36061029900', '1400000US36061023600']",11456,25731.6
1062,American Triangle,"1400000US36081040500,",['1400000US36081040500'],809,42557.0
1063,Blueberry Park,"1400000US36085015603,",['1400000US36085015603'],1715,90604.0
1064,Rainey Park,"1400000US36005008700,1400000US36081003700,","['1400000US36005008700', '1400000US36081003700']",1889,29188.0
1065,Lyons,"1400000US36085002100,",['1400000US36085002100'],1273,53386.0
1066,Big Bush Park,"1400000US36081024500,",['1400000US36081024500'],2146,60833.0
1067,Coffey Park,"1400000US36047008500,",['1400000US36047008500'],3012,14000.0
1068,Clearview Golf Course,"1400000US36081099701,",['1400000US36081099701'],1177,75852.0
1069,George Washington Carver Botanical Garden,"1400000US36081026000,",['1400000US36081026000'],722,37857.0
1070,Risse Street Park,"1400000US36005041100,",['1400000US36005041100'],1137,41047.0
1071,Hempstead Bench Spread,"1400000US36081058000,",['1400000US36081058000'],1073,76227.0
1072,"Phil ""Scooter"" Rizzuto Park","1400000US36081014800,",['1400000US36081014800'],555,57902.0
1073,St. Albans Park,"1400000US36081043400,1400000US36081026600,1400000US36081043200,","['1400000US36081043400', '1400000US36081026600', '1400000US36081043200']",1647,68361.0
1074,Marcus Garvey Tenant's Assoc. Garden,"1400000US36047090200,",['1400000US36047090200'],881,42734.0
1075,Jacob Joffe Fields,"1400000US36047069200,",['1400000US36047069200'],808,84674.0
1076,Harold Schneiderman Playground,"1400000US36081006202,",['1400000US36081006202'],2671,55253.0
