,park_name,census_tract
106,Eastern Parkway Extension,"[u'1400000US36047036100', u'1400000US36047036900', u'1400000US36047036700', u'1400000US36047036300', u'1400000US36047036502', u'1400000US36047036501', u'1400000US36047040500']"
107,Floral Vineyard,[u'1400000US36047115000']
108,Owl's Head Park,[u'1400000US36047003400']
109,Williamsbridge Square,"[u'1400000US36005038000', u'1400000US36005037800', u'1400000US36005037400']"
110,Powell St Block Association,[u'1400000US36047092000']
111,Joseph Rodman Drake Park,[u'1400000US36005009300']
112,Worth Square,[u'1400000US36061005800']
113,Mentone Playground,[u'1400000US36081068000']
114,Grand Slope,[u'1400000US36081047900']
115,Jackson Avenue Median,[u'1400000US36081001900']
116,Meucci Triangle,[u'1400000US36047040200']
117,Juniper Nor Playground Tennis,[u'1400000US36081066300']
118,Van Cortlandt's Trail,[u'1400000US36005028300']
119,Hamilton Metz Field,[u'1400000US36047080600']
120,Samuel Seabury Playground,[u'1400000US36061015801']
121,Josephine Caminiti Playground,[u'1400000US36081041300']
122,Pink Playground,[u'1400000US36047121400']
123,Boone Slope,[u'1400000US36005016100']
124,Chester Playground,[u'1400000US36047092400']
125,Tramway Plaza,[u'1400000US36061011000']
126,Holcombe Rucker Park,[u'1400000US36061024302']
127,Angelo Campanero Plgd,[u'1400000US36005036000']
128,Bicentennial Veterans Memorial Park,[u'1400000US36005013800']
129,Washington Market Park,[u'1400000US36061003900']
130,Ocean Parkway Malls,"[u'1400000US36047048200', u'1400000US36047050400', u'1400000US36047037000', u'1400000US36047037401', u'1400000US36047049400', u'1400000US36047049000', u'1400000US36047039000', u'1400000US36047039400', u'1400000US36047041800', u'1400000US36047035400', u'1400000US36047035602', u'1400000US36047039200', u'1400000US36047036600', u'1400000US36047041402', u'1400000US36047046202', u'1400000US36047048400', u'1400000US36047045200', u'1400000US36047044400', u'1400000US36047044000', u'1400000US36047042200', u'1400000US36047046201', u'1400000US36047045800', u'1400000US36047044800', u'1400000US36047045000', u'1400000US36047043800', u'1400000US36047042000', u'1400000US36047036001', u'1400000US36047035200', u'1400000US36047036400', u'1400000US36047046000', u'1400000US36047041600', u'1400000US36047036200', u'1400000US36047044200', u'1400000US36047035601']"
131,Valentine Varian House,[u'1400000US36005042300']
132,Baybridge Green,[u'1400000US36081099705']
133,Nathan Weidenbaum Park,[u'1400000US36081024300']
134,Captain John R Fischer Firefighter Michael C Fiore,[u'1400000US36085012100']
135,Youth Village,[u'1400000US36005013500']
136,Kelly Park,"[u'1400000US36047055800', u'1400000US36047055600']"
137,Father Duffy Square,[u'1400000US36061012500']
138,Marine Park,[u'1400000US36047066600']
139,Crotona Playground (11),[u'1400000US36005016300']
140,Vernon New Harvest,[u'1400000US36047025300']
141,Renaissance Playground,[u'1400000US36061023200']
142,Septuagesimo UNO,[u'1400000US36061015900']
143,St. Nicholas - Olive St. Garden,[u'1400000US36047048100']
144,Tottenville Shore Park,[u'1400000US36085024800']
145,Kennedy King Playground,[u'1400000US36047088600']
146,Robert Venable Park,[u'1400000US36047120000']
147,Nehemiah Park,[u'1400000US36047091800']
148,Playground 52 LII,[u'1400000US36005008300']
149,Lindower Park,[u'1400000US36047070201']
150,Marlboro Playground,[u'1400000US36047038200']
151,Nine Heroes Plaza,[u'1400000US36081026700']
152,Brownsville Playground,[u'1400000US36047092200']
153,Judge Angelo Graci Triangle,[u'1400000US36081004401']
154,Cunningham Park,"[u'1400000US36081128300', u'1400000US36081129103', u'1400000US36081129102']"
155,Seven Gables Playground,[u'1400000US36081136700']
156,Butterfly Gardens,[u'1400000US36047014900']
157,St. Nicholas Park,"[u'1400000US36061021703', u'1400000US36061021303']"
158,Lieutenant John H. Martinson Playground,[u'1400000US36085015602']
159,Scarangella Park,[u'1400000US36047040200']
160,Gaeta Park,[u'1400000US36085025100']
161,Playground Thirty Five XXXV,[u'1400000US36081015700']
162,Star Spangled Playground,[u'1400000US36047023500']
163,P.s. 246 (poe Center) - Bronx,[u'1400000US36005040100']
164,P.S. 101,[u'1400000US36081072300']
165,P.S. 103,[u'1400000US36005042000']
166,Olmsted Triangle,[u'1400000US36005009200']
167,Harvard Playground,[u'1400000US36081046800']
168,I.S. 2,[u'1400000US36047080200']
169,James A Young Memorial Park,[u'1400000US36005024000']
170,I.S. 62,[u'1400000US36047049000']
171,I.S. 61,[u'1400000US36081044302']
172,McKinley Park,[u'1400000US36047013200']
173,Clove's Tail,[u'1400000US36085016901']
174,Dry Dock Playground,[u'1400000US36061002800']
175,Jesse Ownes Playground Pool,[u'1400000US36047029100']
176,McCarren Park,"[u'1400000US36047051500', u'1400000US36047051700']"
177,97th Street Block Association,[u'1400000US36081037500']
178,MacLaughlin Playground,[u'1400000US36005033500']
179,Newtown Barge Playground,[u'1400000US36047056300']
180,P.S. 4 Paradise Garden,[u'1400000US36047115000']
181,Van Nest Park,[u'1400000US36005023600']
182,Nelson Rockefeller Playground,[u'1400000US36061031703']
183,Franz Sigel Park,[u'1400000US36005006300']
184,Rodney Park Center,[u'1400000US36047052700']
185,Sgt. Joyce Kilmer Triangle,[u'1400000US36047055400']
186,Wagner Playground,[u'1400000US36061019400']
187,Brooklyn Bears Carlton Av Garden,[u'1400000US36047017900']
188,Wave Hill,[u'1400000US36005030900']
189,Frederick Johnson Playground,[u'1400000US36061023600']
190,Rock Garden Park,[u'1400000US36005016100']
191,Lowry Triangle,[u'1400000US36047020300']
192,Gouverneur Playground,[u'1400000US36005014702']
193,Clawson Playground,[u'1400000US36085013204']
194,South Brother Island,[u'1400000US36005001900']
195,Adam Clayton Powell Jr. Blvd. Malls,"[u'1400000US36061023600', u'1400000US36061022400', u'1400000US36061023000', u'1400000US36061023200', u'1400000US36061023400', u'1400000US36061022800', u'1400000US36061022600', u'1400000US36061022200', u'1400000US36061022000', u'1400000US36061021800']"
196,Merriam Playground,[u'1400000US36005020100']
197,The Amazing Garden,[u'1400000US36047005100']
198,P.S. 167,[u'1400000US36047035300']
199,811 Family and Friends Garden,[u'1400000US36005006900']
200,Hillside Park,"[u'1400000US36081157902', u'1400000US36047000100']"
201,Petrosino Square,[u'1400000US36061004500']
202,Norelli-Hargreaves Playground,[u'1400000US36081020200']
203,Faber Pool and Park,[u'1400000US36085020700']
204,Admiral Park,[u'1400000US36081147900']
205,Corlears Hook Park,[u'1400000US36061000202']
206,Moore Homestead Playground,[u'1400000US36081048100']
207,MacArthur Park,[u'1400000US36061008603']
208,Kaltenmeier Playground,[u'1400000US36085000800']
209,Todd Memorial Square,[u'1400000US36047005300']
210,Walton Park,[u'1400000US36005024100']
211,Crowley Playground,[u'1400000US36081049900']
212,Maple Woods,[u'1400000US36085004000']
213,Lincoln Terrace / Arthur S. Somers Park,[u'1400000US36047035700']
214,Major Mark Park,[u'1400000US36081046200']
215,W 124th Street Community Garden,[u'1400000US36061020000']
216,Madison Community Greenthumb,[u'1400000US36047037500']
217,Siren Slope,[u'1400000US36005027700']
218,P.S. 29,[u'1400000US36085014700']
219,Newport Playground,[u'1400000US36047091800']
220,P.S. 5,[u'1400000US36061029900']
