,PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,CRIME_TOT,Street_light,Drinking,Drugs,311_Total
46,2014-q3,highland park,BROOKLYN/QUEENS,146.339,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2,10,1,0,11
47,2014-q3,arden woods,STATEN ISLAND,145.864,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,5,0,0,5
48,2014-q3,riverdale park,BRONX        ,144.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
49,2014-q3,ocean parkway malls,BROOKLYN     ,140.0,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,83,1,0,84
50,2014-q3,bloomingdale park,STATEN ISLAND,138.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,14,0,0,14
51,2014-q3,ocean breeze park,STATEN ISLAND,136.568,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,4,0,0,4
52,2014-q3,canarsie park,BROOKLYN     ,132.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,5,0,0,5
53,2014-q3,highbridge park manhattan side,MANHATTAN    ,130.1,ONE ACRE OR LARGER,0,0,2,2,0,1,0,5,0,0,0,0
54,2014-q3,crotona park,BRONX        ,127.5,ONE ACRE OR LARGER,0,0,3,0,1,5,1,10,12,1,0,13
55,2014-q3,paerdegat basin park,BROOKLYN     ,118.795,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,14,0,0,14
56,2014-q3,hook creek park,QUEENS       ,111.163,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
57,2014-q3,crescent beach park,STATEN ISLAND,110.96,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,9,0,0,9
58,2014-q3,clearview park golf course,QUEENS       ,110.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,4,0,0,4
59,2014-q3,baisley pond park,QUEENS       ,109.609,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,8,0,0,8
60,2014-q3,pelham parkway,BRONX        ,108.91,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,39,2,0,41
61,2014-q3,pralls island,STATEN ISLAND,107.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
62,2014-q3,mariners marsh park,STATEN ISLAND,107.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
63,2014-q3,douglaston park golf course,QUEENS       ,104.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,13,0,0,13
64,2014-q3,lemon creek park,STATEN ISLAND,104.545,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,8,0,0,8
65,2014-q3,spring creek park,BROOKLYN/QUEENS,99.566,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,14,0,0,14
66,2014-q3,high rock park,STATEN ISLAND,94.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
67,2014-q3,long pond park,STATEN ISLAND,91.948,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
68,2014-q3,brookville park,QUEENS       ,89.946,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,11,0,0,11
69,2014-q3,isle of meadows,STATEN ISLAND,87.516,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
70,2014-q3,calvert vaux park,BROOKLYN     ,85.527,ONE ACRE OR LARGER,0,0,1,0,0,3,0,4,5,0,0,5
71,2014-q3,pugsley creek park,BRONX        ,83.615,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2,12,0,0,12
72,2014-q3,snug harbor cultural center,STATEN ISLAND,83.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,8,0,0,8
73,2014-q3,mosholu parkway,BRONX        ,80.936,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,4,0,0,4
74,2014-q3,mcguire fields,BROOKLYN     ,77.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,5,0,0,5
75,2014-q3,fresh creek nature preserve,BROOKLYN     ,77.044,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,11,0,0,11
