,SiteName,Inspections_Inspection_OverallCondition,Inspections_Inspection_OverallCleanliness,Inspections_Inspection_Cleanliness_Glass,Inspections_Inspection_Cleanliness_Graffiti,Inspections_Inspection_Cleanliness_Litter,Inspections_Inspection_Cleanliness_Weeds,Inspections_Inspection_Landscape_Lawns,Inspections_Inspection_Landscape_Trees,Inspections_Inspection_Landscape,Inspections_Inspection_Structural_Benches,Inspections_Inspection_Structural_Fences,Inspections_Inspection_Structural_PavedSurfaces,Inspections_Inspection_Structural_PlayEquipment,Inspections_Inspection_Structural_SafetySurface,Inspections_Inspection_Structural_Sidewalks,Inspections_Inspection_Structural,average_score,ZIPCODE,the_geom,ACRES,WATERFRONT,TYPECATEGO
108,Rudd Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11207,"MULTIPOLYGON (((-73.90492726459235 40.68320421380101, -73.90536335571325 40.682767742689634, -73.90550946307893 40.68285037330901, -73.90555449418119 40.6829731765258, -73.90557197286572 40.683020844298746, -73.90558083607394 40.68305202648432, -73.90559410382663 40.68309870653569, -73.90567653449864 40.68338873080086, -73.90571913423307 40.68360854977837, -73.90571140101169 40.68361638332088, -73.90573732687295 40.68381579467082, -73.90575067076796 40.68391842822616, -73.90576818301169 40.68405312080391, -73.90545645606122 40.68386625690282, -73.90530048450375 40.683772759707466, -73.90541319641932 40.6836576568017, -73.90481322674606 40.68331834978887, -73.90492726459235 40.68320421380101)))",1.278,No,Playground
109,Gilbert Ramirez Park,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5625,11206,"MULTIPOLYGON (((-73.93418260743378 40.70586979292326, -73.935253094416 40.705665023047025, -73.935349917584 40.70595361310957, -73.9336649937116 40.70627706195672, -73.93364097584951 40.70619131580498, -73.93390375978773 40.70614105185491, -73.93383506032782 40.70593627205997, -73.93418260743378 40.70586979292326)))",1.034,No,Neighborhood Park
110,Newtown Barge Playground,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,11222,"MULTIPOLYGON (((-73.96138753943508 40.73534886130217, -73.96278960229075 40.73522561379837, -73.96119810053605 40.736578933664504, -73.96063580372447 40.73694847600497, -73.96024863075112 40.73653427063821, -73.9601233537916 40.73640024527621, -73.96012338933174 40.73640020476564, -73.95957848395808 40.73581724214422, -73.96021657459275 40.73547254821591, -73.96018892022889 40.73545421692503, -73.96018931210565 40.735454177438164, -73.96138753943508 40.73534886130217)))",6.042,No,Recreation Field/Courts
111,Sixteen Sycamores Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11217,"MULTIPOLYGON (((-73.9811229077025 40.686947453901354, -73.98048624182113 40.68675677740926, -73.98064739411211 40.6865101782552, -73.98072506101973 40.68653984430428, -73.98078247053625 40.686561773308505, -73.9808377923627 40.6865829031808, -73.98089169835563 40.68660348347805, -73.98087202772226 40.68663254878993, -73.98093557991918 40.68665679666046, -73.98100212004636 40.686682184138895, -73.98106254605777 40.68670524004345, -73.9811280560163 40.68673023375487, -73.98119038059647 40.686754013016, -73.98125670208924 40.68677931746383, -73.98127628265324 40.68675038895014, -73.9813397901537 40.68677464559491, -73.9814057391161 40.68679983553117, -73.9814708329227 40.686824697504925, -73.98153831378582 40.686850472044995, -73.98154633238347 40.68685353417689, -73.98141107622527 40.68706051346616, -73.9811229077025 40.686947453901354)))",0.567,No,Playground
112,Banneker Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11216,"MULTIPOLYGON (((-73.9497527460619 40.69015204677049, -73.9498074339426 40.69043103345996, -73.94882531530315 40.690543797242974, -73.94887937976793 40.69081961517784, -73.94842985724969 40.69087139134258, -73.94831953786269 40.690318216857364, -73.9497527460619 40.69015204677049)))",1.67,No,Jointly Operated Playground
113,City Line Park,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5625,11208,"MULTIPOLYGON (((-73.87409161778498 40.679255504389296, -73.87393014180567 40.67906737831334, -73.87354406879476 40.67852350800994, -73.87348527905964 40.678454494516686, -73.87339846763659 40.678363292080036, -73.87329011726234 40.67826763082, -73.87317787257109 40.678185425169104, -73.87337310924649 40.67824783970438, -73.87357677111044 40.678329235224886, -73.87371189424476 40.67838806660426, -73.87387526049119 40.678456116746, -73.8740512195224 40.67853921454527, -73.87415477953073 40.67859675462863, -73.87446305389128 40.678552406010084, -73.87459332474812 40.6790875730814, -73.874757471514 40.679215673678804, -73.87619376904192 40.67900903526353, -73.87644982042617 40.68006079086488, -73.8763659611464 40.68006915122404, -73.87622257420549 40.68007240461588, -73.87610481066858 40.680072362521045, -73.8760137142082 40.680069462892746, -73.8759369972133 40.68006499108909, -73.87585798896518 40.680058642790016, -73.87576376072047 40.68004726843792, -73.87566089576197 40.680032440205075, -73.8754897007945 40.680002816336554, -73.87528488339527 40.6799534308887, -73.87510179037062 40.67989602795833, -73.87489717940963 40.67981952572704, -73.87477610588363 40.67976132159481, -73.87465446920883 40.67969762357779, -73.87444104174423 40.67956741680153, -73.8742980079517 40.67945788493908, -73.8741945695019 40.679365230430065, -73.87409161778498 40.679255504389296)), ((-73.87359422193855 40.679245698126934, -73.87359776790147 40.6792451905297, -73.87362335844207 40.67934652751788, -73.87377709542953 40.67959807242501, -73.87381427836448 40.67965441072484, -73.87387569680226 40.679735839622765, -73.87393537949353 40.679806970093395, -73.87402095349319 40.6798914952314, -73.87413965770554 40.67999650364851, -73.87426804109387 40.68008927280945, -73.8744495136658 40.68019617391886, -73.87464933870476 40.68029254699995, -73.87449010186346 40.680385088662504, -73.87441078932336 40.68044471798758, -73.87434249086566 40.68049403668048, -73.87431229842717 40.68051769085634, -73.87423010506471 40.68057805803342, -73.87413721267963 40.6806389321455, -73.87404194993803 40.68068837695029, -73.87396709698692 40.68072812387238, -73.87392844250097 40.68057444642873, -73.87389996715046 40.68046124207515, -73.87388270048002 40.68039259758699, -73.87386574849262 40.680325201554716, -73.87384851594017 40.68025669217489, -73.87383156401849 40.680189297937524, -73.87379766028296 40.68005450675203, -73.87378070846574 40.67998711160494, -73.87376240068427 40.6799143244826, -73.87373073255704 40.67978842471184, -73.87371748960177 40.67973577505875, -73.87370488768678 40.679685670963664, -73.8736928422577 40.67963778814852, -73.87368037891763 40.67958823261608, -73.87366820556863 40.67953983456255, -73.87365542644098 40.67948903146629, -73.87364346327676 40.67944146841804, -73.87363066071073 40.679390569838034, -73.87361890420863 40.679343827383036, -73.87360601833272 40.679292593716454, -73.87359422193855 40.679245698126934)))",6.05,No,Jointly Operated Playground
114,Bedford Playground,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5625,11211,"MULTIPOLYGON (((-73.96348799692701 40.70855957451478, -73.96358924947764 40.70806352397462, -73.96352044361676 40.70807538713728, -73.96351433692956 40.708054768897895, -73.96367240606008 40.70802751539056, -73.96367887069266 40.70804934312112, -73.963709894192 40.70804617860375, -73.96390554510974 40.7080196975502, -73.963972813233 40.70800643698312, -73.96396080242494 40.707948999517555, -73.96408714447196 40.70792549243581, -73.96401900548004 40.70769544456341, -73.96428493312636 40.70764959229949, -73.96423569789428 40.707897852468285, -73.96409090308815 40.70862793736666, -73.96348799692701 40.70855957451478)))",0.996,No,Playground
115,Ocean Hill Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6875,11233,"MULTIPOLYGON (((-73.91157450661304 40.67469364968267, -73.91162948923291 40.67409881774933, -73.91279738294652 40.67416248019839, -73.91274187664119 40.67475688273438, -73.91157450661304 40.67469364968267)))",1.595,No,Jointly Operated Playground
116,Thomas Greene Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8125,11217,"MULTIPOLYGON (((-73.98430020422195 40.68021747190524, -73.98463229422951 40.679727978222125, -73.98640308389719 40.6804159635305, -73.98607080446492 40.68090676980577, -73.98430020422195 40.68021747190524)))",2.525,No,Community Park
117,Quaker Parrot Park at the Dust Bowl,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4375,11220,"MULTIPOLYGON (((-74.01276037951446 40.632594980895334, -74.01321664484205 40.63215439982335, -74.0142299362616 40.63276666801154, -74.01377411188437 40.63320682977884, -74.01276037951446 40.632594980895334)))",1.65,No,Recreation Field/Courts
118,Monsignor Crawford Field,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6875,11234,"MULTIPOLYGON (((-73.91555962014412 40.61449471618582, -73.91610881593145 40.61413466030648, -73.91661476244674 40.61458866608956, -73.91633883250286 40.61476956944599, -73.9160666986643 40.61494798226667, -73.91555962014412 40.61449471618582)), ((-73.91628149287288 40.614018346979606, -73.91681061161057 40.613678720351075, -73.9173082394861 40.61412575515046, -73.91677923327089 40.61446531119409, -73.91628149287288 40.614018346979606)))",2.291,No,Recreation Field/Courts
119,Rolf Henry Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11226,"MULTIPOLYGON (((-73.94734787442285 40.655943886775816, -73.94731777991214 40.655664318272194, -73.94765499774094 40.655644183582055, -73.94770489091383 40.65592256961673, -73.94734787442285 40.655943886775816)))",0.213,No,Playground
120,Elton Playground,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8125,11208,"MULTIPOLYGON (((-73.88041233354778 40.66549117563524, -73.88052936451615 40.66544016589498, -73.88124241708104 40.66639877121634, -73.88120839502459 40.66641360001709, -73.88092565155021 40.66629425399825, -73.88087861251798 40.66625867541463, -73.88064951688328 40.666085396477094, -73.88033246646246 40.665659158722086, -73.88048713884147 40.66559174293907, -73.88041233354778 40.66549117563524)))",0.622,No,Playground
121,Linwood Playground,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8125,11208,"MULTIPOLYGON (((-73.88055188537409 40.66658896311584, -73.87990109206038 40.66571308687995, -73.88000801633501 40.66566652197507, -73.88014938958955 40.66560495423662, -73.88022701306548 40.66570931041688, -73.88023639850388 40.665705220135635, -73.88071222222821 40.666344908472524, -73.88076919680474 40.66632007545606, -73.88077220063676 40.666318765616, -73.88083614744785 40.66640473215697, -73.88087010295867 40.666450382095086, -73.88086709794166 40.66645169103592, -73.88055188537409 40.66658896311584)))",0.705,No,Playground
122,Kolbert Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11230,"MULTIPOLYGON (((-73.95771811717395 40.620606603318, -73.95756993970416 40.61981619696621, -73.95806555909259 40.619433801658886, -73.95827233511278 40.61958942562572, -73.95844879108029 40.62052296734111, -73.95771811717395 40.620606603318)))",1.581,No,Playground
123,Dome Playground,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6875,11218,"MULTIPOLYGON (((-73.97975987534619 40.638231770611675, -73.9796490053496 40.63763483138102, -73.98084492664921 40.638352481904235, -73.98050534893531 40.638679113206805, -73.97975987534619 40.638231770611675)))",1.385,No,Neighborhood Park
124,Rappaport Playground,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.75,11219,"MULTIPOLYGON (((-74.00002850281535 40.636961379144516, -74.00057952088886 40.63659126264198, -74.00138212206446 40.63707500460996, -74.00115329473905 40.637294802160184, -74.00081705314174 40.63709217480263, -74.0005967207959 40.637303808881825, -74.00002850281535 40.636961379144516)))",1.148,No,Neighborhood Park
125,South Pacific Playground,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6875,11233,"MULTIPOLYGON (((-73.91943970833157 40.67590575594664, -73.91949258710007 40.67530824619108, -73.92115550697609 40.67540053711915, -73.92115481094582 40.67540801001788, -73.92114987883987 40.67546095513094, -73.92114494672182 40.675513903845534, -73.92114001341525 40.67556685075774, -73.9211350824643 40.675619799472045, -73.92113015032382 40.675672747284445, -73.92112521817657 40.675725694195805, -73.92112028365378 40.67577864290602, -73.92111535267364 40.67583158981708, -73.92111042168567 40.67588453672759, -73.92110548832427 40.675937483635934, -73.92110055613468 40.67599043324608, -73.92109994276255 40.675997011989125, -73.91943970833157 40.67590575594664)))",2.264,No,Neighborhood Park
126,Berry Playground,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,11211,"MULTIPOLYGON (((-73.96319254851623 40.712676957656484, -73.963347467695 40.71243462022397, -73.96383334215791 40.712611393759374, -73.96367950929582 40.71285203381931, -73.96319254851623 40.712676957656484)))",0.327,No,Playground
136,Powell Playground,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.625,11212,"MULTIPOLYGON (((-73.90454212975825 40.671619404093995, -73.90439239372928 40.67102927439744, -73.90457564436872 40.67100186535043, -73.90463896800564 40.670992394000436, -73.90469202830228 40.67098445759778, -73.90475180067459 40.67097551724958, -73.90481865538229 40.67096551741971, -73.90488551006995 40.670955517550944, -73.90495236355487 40.67094551764238, -73.90501957190554 40.6709354648575, -73.90510694249392 40.67092239662848, -73.90526183747316 40.671522664050606, -73.90490633887431 40.67157583798413, -73.90490286434154 40.67156237060006, -73.90483211827389 40.671572952595064, -73.90475783393235 40.671584063822245, -73.90470052986582 40.67159263520555, -73.90470129321537 40.67159559673378, -73.90468785353181 40.67159760815882, -73.90454212975825 40.671619404093995)))",1.024,No,Playground
137,Garibaldi Playground,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,11214,"MULTIPOLYGON (((-73.99972930716017 40.6091028817843, -74.00017825712287 40.60867321255036, -74.00047231326232 40.60885107641894, -73.99997276869682 40.60924948068837, -73.99972930716017 40.6091028817843)))",0.437,No,Playground
138,Mount Prospect Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8125,11238,"MULTIPOLYGON (((-73.96535651528673 40.67215243584668, -73.96600275871576 40.670507149341795, -73.96765458142258 40.670874220036225, -73.96765990688567 40.67087714550686, -73.96785157373549 40.67113554628218, -73.96785070906422 40.67113578287609, -73.96741368982092 40.67241464559443, -73.9673378984752 40.67263643180716, -73.96729952675012 40.67262994800389, -73.96714709402475 40.67260102865635, -73.96698553634178 40.672570377499376, -73.96660983799973 40.67248637887904, -73.96626768812574 40.67240344247487, -73.9658528650647 40.6722956139756, -73.96537404266113 40.672158106264725, -73.96535651528673 40.67215243584668)))",7.79,No,Neighborhood Park
139,Ketchum Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.625,11223,"MULTIPOLYGON (((-73.98222274690765 40.605531611728495, -73.98221236605096 40.60547773280358, -73.98243465506906 40.60550138857858, -73.98222274690765 40.605531611728495)))",0.057,No,Triangle/Plaza
142,Sperandeo Brothers Playground,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,11208,"MULTIPOLYGON (((-73.88406137452317 40.676331804052595, -73.88478683056499 40.676224339447764, -73.88509892754028 40.67743623747156, -73.88477669715407 40.67748287620692, -73.88467569822443 40.677497493942774, -73.88456621867968 40.67751333948964, -73.88446095097578 40.677528575010406, -73.88453623045966 40.67782089393531, -73.88373949441426 40.67804873788876, -73.88363815920678 40.67765280221231, -73.88437121766924 40.677544216871, -73.88406137452317 40.676331804052595)))",2.799,No,Jointly Operated Playground
143,Bath Beach Park,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6875,11214,"MULTIPOLYGON (((-74.0101718475332 40.60245783222522, -74.01087809601185 40.60177463238965, -74.01154840397217 40.60218371110205, -74.01209833469302 40.602313325204, -74.01207916260462 40.60233224628894, -74.01204439529951 40.60236655622667, -74.01200794227651 40.60240253409677, -74.01197448966171 40.602435548024495, -74.01193864964728 40.60247091885661, -74.01190342622364 40.6025056808607, -74.01186796532548 40.60254067701406, -74.01183357581426 40.60257461493266, -74.01179714973341 40.60261056481618, -74.01176324329629 40.60264402628778, -74.01172743495279 40.60267936553179, -74.0116924877307 40.60271385458411, -74.01165637926456 40.60274948920748, -74.01162195646224 40.60278346038473, -74.01158627554851 40.60281867259775, -74.01155235354338 40.60285215021739, -74.01150391811568 40.6028999520833, -74.0113994807645 40.60301645311724, -74.01135884848725 40.60306177951254, -74.01132096262197 40.603104042046844, -74.01129263796865 40.60313563874742, -74.01094958254379 40.60292816285532, -74.0101718475332 40.60245783222522)))",2.964,No,Playground
144,Homecrest Playground,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6875,11235,"MULTIPOLYGON (((-73.95680523104001 40.58548608224355, -73.95752429999787 40.58540519783103, -73.95777086446289 40.5867202152365, -73.95706800439102 40.58679927828148, -73.95680523104001 40.58548608224355)))",2.372,No,Playground
145,McGuire Fields,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75,11234,"MULTIPOLYGON (((-73.89906362004717 40.605574375309914, -73.89908445547779 40.60543361944504, -73.8991059620599 40.60543663976773, -73.89912436932387 40.605437404259185, -73.89921508589066 40.60549599978884, -73.89925408840973 40.605521191877195, -73.89995379094589 40.60597313587479, -73.90018929665175 40.60787775065611, -73.9002438528513 40.60831895210532, -73.90048852403497 40.61029755974639, -73.90256236408794 40.61211936582941, -73.90237049201912 40.61224867373239, -73.90041340058531 40.61356756843439, -73.89828650713868 40.61500079620117, -73.89817752249375 40.61741336228025, -73.90169440036291 40.62058275131546, -73.89856476327583 40.62263295356652, -73.89851664062262 40.622611349926565, -73.89790222623292 40.62233551759258, -73.89749722623898 40.62215369594283, -73.89767073212775 40.621862103361494, -73.89781580066526 40.621618300196545, -73.89790688666942 40.621465217823435, -73.89801484828948 40.62128377493336, -73.89811877488134 40.62110911108696, -73.89819649671333 40.62097848913378, -73.89826824423157 40.62085790625085, -73.89831572584356 40.62077810446668, -73.89842122195705 40.62060080139974, -73.89869108296601 40.62014724988191, -73.89870068004184 40.62013112010147, -73.89910394616211 40.619453343656886, -73.89875425209127 40.618904134355006, -73.89781209909899 40.61742439269189, -73.89782507711354 40.61734410474273, -73.89783388535628 40.61718771993421, -73.89784451929282 40.61699894499226, -73.89785447809676 40.6167478110428, -73.8978606349782 40.616592572932035, -73.89786884213882 40.616385589078384, -73.89787656736877 40.616190789747, -73.89788029292214 40.616096842557084, -73.89787050206957 40.61596722360965, -73.89786173054664 40.61585108547102, -73.89784418641062 40.61561880918651, -73.89783151513065 40.61545105418653, -73.89781786984466 40.61527039474375, -73.89780422463254 40.615089735296024, -73.89779344611176 40.61494703087238, -73.89778450226306 40.61482861964583, -73.89777085604987 40.61464796018492, -73.89775812839646 40.614479446870526, -73.89774540080599 40.61431093445237, -73.8977355977573 40.61418113355306, -73.89772487627111 40.61403918739942, -73.89770796081895 40.61381522792686, -73.8976992980487 40.61353596304941, -73.89769528483791 40.61340656081693, -73.89769128060476 40.61327747917626, -73.89768506594496 40.61307715529407, -73.89768729962384 40.612952822249085, -73.89769078396029 40.61275879893854, -73.89769450460852 40.61255166874026, -73.89769820329751 40.61234574431663, -73.89770944735386 40.61212407737784, -73.89771736616527 40.61196795825801, -73.8977265472636 40.611786950735585, -73.89773638384621 40.611593014099626, -73.89774364700058 40.61144982407918, -73.89775639555513 40.61119846914852, -73.89776470096315 40.611086056284364, -73.8977742383177 40.61095697765465, -73.89778515243678 40.61080925043795, -73.89780919461181 40.610588865472174, -73.89783256003022 40.61042453288393, -73.89787257279424 40.610143111204025, -73.89791052276777 40.609966346336726, -73.89795454796774 40.60976127803784, -73.89798218496027 40.609649078617075, -73.89801300002038 40.609523980229355, -73.89804997746658 40.60937386269097, -73.89808194201402 40.60924409699474, -73.8981323949535 40.609039272951435, -73.89823405931008 40.60871590267991, -73.89831630471774 40.60848229088297, -73.89835260553835 40.608379180789825, -73.89840507532766 40.608230143939785, -73.89844251274471 40.608123807349095, -73.89847228743855 40.60803923229889, -73.89851315186473 40.607923157762194, -73.89855145093944 40.60778841582225, -73.89858888622926 40.607656715970215, -73.89863914145326 40.607479908546736, -73.89869064134102 40.607298725657515, -73.89873635107959 40.607137908354474, -73.89877648694349 40.60699670129773, -73.89884433095125 40.606727225709925, -73.89890857857844 40.60647202469311, -73.89893142257664 40.606348113103365, -73.89896583077442 40.60616147678647, -73.89900595715164 40.605943819784564, -73.89903901232108 40.60574060363304, -73.89906362004717 40.605574375309914)))",77.181,Yes,Recreation Field/Courts
146,Sixteen Lindens Triangle,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11235,"MULTIPOLYGON (((-73.95264083168026 40.58455382562366, -73.95192269990643 40.58430869207674, -73.95258643321726 40.5842404884638, -73.95264083168026 40.58455382562366)))",0.487,No,Triangle/Plaza
151,Continental Army Plaza,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5625,11211,"MULTIPOLYGON (((-73.96030604864147 40.710347492775156, -73.96039886386379 40.7103157394065, -73.96073423987885 40.71040940117165, -73.96077693115005 40.71049578553224, -73.9605637088616 40.71084224279707, -73.96045953633174 40.71085314917075, -73.96015889728116 40.71074584149034, -73.9601282838959 40.71068419722186, -73.96030604864147 40.710347492775156)))",0.532,No,Triangle/Plaza
152,Brighton Playground,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5625,11235,"MULTIPOLYGON (((-73.96593741470511 40.574910156355685, -73.96594032116323 40.574910127500104, -73.96586434653243 40.57523760228026, -73.96581318109503 40.5754581390068, -73.96496505294931 40.575472967270585, -73.9648693897781 40.574920790496655, -73.96593741470511 40.574910156355685)))",1.225,Yes,Playground
153,Poseidon Playground,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,11224,"MULTIPOLYGON (((-73.99150900764111 40.571769715955945, -73.99238042861448 40.5716954036309, -73.99265441435584 40.573073284460705, -73.99181194747146 40.57326148575969, -73.99150900764111 40.571769715955945)))",2.944,Yes,Recreation Field/Courts
154,Linden Sitting Area,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11236,"MULTIPOLYGON (((-73.91846674587376 40.653882373927324, -73.91873001102361 40.654118894763066, -73.91813861019304 40.654098983664674, -73.91846674587376 40.653882373927324)))",0.139,No,Triangle/Plaza
155,Heffernan Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11219,"MULTIPOLYGON (((-73.99473152714648 40.64586087634265, -73.99487745088534 40.64595123910377, -73.99477514367953 40.64604797624165, -73.99473152714648 40.64586087634265)))",0.029,No,Triangle/Plaza
156,Fraser Square,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,11234,"MULTIPOLYGON (((-73.94137651923477 40.619682558216056, -73.94141087114389 40.61968173464259, -73.94144430566409 40.61968531323722, -73.94147439298595 40.61969739283435, -73.94149898577152 40.61971530860373, -73.94151455438745 40.61973862200062, -73.94152318944029 40.61976596440012, -73.94152506252478 40.61979706033179, -73.94152274050575 40.61982919693236, -73.94151762607096 40.619861137599734, -73.94150971222847 40.619892765262385, -73.94149907474976 40.61992391966557, -73.94148594931899 40.61995401919209, -73.94146973454083 40.61998424862023, -73.94145117856914 40.62001317019815, -73.94143014523749 40.620041077425086, -73.94140578522118 40.620068870387485, -73.9413844915139 40.62009447664296, -73.94136191034455 40.6201179209882, -73.9413372999009 40.62014014048588, -73.94131077726227 40.62016104244087, -73.94128244887763 40.62018052784895, -73.9412524660971 40.620198506734106, -73.9412209294388 40.620214906204225, -73.94118803398541 40.62022963090264, -73.94115390269906 40.62024262055635, -73.94111869044087 40.62025382661533, -73.94108353330041 40.62026148644155, -73.94105046199951 40.62026383425492, -73.94101568093633 40.620259144513255, -73.94098446164827 40.620246644573115, -73.9409589818449 40.62022807986431, -73.94094115598097 40.62020486248998, -73.9409325146939 40.62017942824792, -73.94093235272256 40.62014077241558, -73.94093491852185 40.620107261758555, -73.94094055089911 40.6200739670008, -73.94094922370691 40.62004105022208, -73.94096086587604 40.62000868878781, -73.9409754524716 40.619977010558216, -73.94099290298281 40.619946179385686, -73.94101312862433 40.61991636181961, -73.94103602527596 40.61988769288328, -73.94105930070539 40.61985965720252, -73.94108167283268 40.61983608043244, -73.94110127795706 40.6198156396543, -73.94112265364723 40.61979625699091, -73.94114572064152 40.61977802425378, -73.94117035713866 40.619761027829554, -73.94119645197566 40.61974535230935, -73.94122387627411 40.61973106966793, -73.94125252125914 40.61971823748203, -73.94128226633273 40.61970691962618, -73.94131292353748 40.61969717723894, -73.94134439239662 40.61968903998555, -73.94137651923477 40.619682558216056)))",0.667,No,Triangle/Plaza
