,SiteName,Inspections_Inspection_OverallCondition,Inspections_Inspection_OverallCleanliness,Inspections_Inspection_Cleanliness_Glass,Inspections_Inspection_Cleanliness_Graffiti,Inspections_Inspection_Cleanliness_Litter,Inspections_Inspection_Cleanliness_Weeds,Inspections_Inspection_Landscape_Lawns,Inspections_Inspection_Landscape_Trees,Inspections_Inspection_Landscape,Inspections_Inspection_Structural_Benches,Inspections_Inspection_Structural_Fences,Inspections_Inspection_Structural_PavedSurfaces,Inspections_Inspection_Structural_PlayEquipment,Inspections_Inspection_Structural_SafetySurface,Inspections_Inspection_Structural_Sidewalks,Inspections_Inspection_Structural,average_score,ZIPCODE,the_geom,ACRES,WATERFRONT,TYPECATEGO
25,Veterans Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8125,11212,"MULTIPOLYGON (((-73.90371887405493 40.656919059127034, -73.90400099560829 40.65687633395375, -73.90373855719258 40.65699443719678, -73.90371887405493 40.656919059127034)))",0.025,No,Triangle/Plaza
26,Fidelity Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,11222,"MULTIPOLYGON (((-73.94188146679365 40.721829053895256, -73.9418890800193 40.72187759971308, -73.94180192601856 40.721887540543335, -73.94188146679365 40.721829053895256)))",0.005,No,Triangle/Plaza
27,Fort Greene Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8125,"11201, 11205","MULTIPOLYGON (((-73.97395410527756 40.693191116769654, -73.97326832557873 40.68973970523142, -73.97620037384215 40.689850497044866, -73.97671151231704 40.68986980326287, -73.97711580526519 40.68988507242565, -73.97747009100597 40.69165561966321, -73.97750854076375 40.69165204404266, -73.97759525531053 40.69164397975294, -73.97759943543787 40.691664078217364, -73.97759953718482 40.69166406923204, -73.97763068430658 40.69181431238689, -73.97738066447884 40.69180422910063, -73.97768929523377 40.693333503545084, -73.97704758627529 40.69330904999774, -73.9768382978091 40.69330107364839, -73.97395410527756 40.693191116769654)))",30.168,No,Community Park
28,Fort Hamilton Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,11209,"MULTIPOLYGON (((-74.03082919834463 40.61627167978909, -74.03090732714334 40.61615877761843, -74.03093407615795 40.616165041650575, -74.0307449834725 40.61656958473289, -74.03062150892885 40.616503770707205, -74.03082919834463 40.61627167978909)))",0.019,No,Triangle/Plaza
29,John Paul Jones Park,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.625,11209,"MULTIPOLYGON (((-74.03430375819211 40.61181455603845, -74.03360672405425 40.61147153095784, -74.03360581934146 40.611472384016025, -74.03276488049238 40.61106009438304, -74.03276650541686 40.61105803082544, -74.03276307783179 40.61105634422547, -74.03295693854446 40.61081618819864, -74.03304728990781 40.6107014448396, -74.03309985016581 40.610634694777985, -74.03495925871984 40.61006452756746, -74.03500009196496 40.61015224123772, -74.0350296957015 40.610241017328825, -74.03505150264041 40.61033109614236, -74.0350654168299 40.61042207878101, -74.0350713754013 40.610513564534784, -74.03506935447753 40.61060514997857, -74.03505935972152 40.61069643077606, -74.03504143815529 40.61078700527839, -74.03501566634388 40.610876473627044, -74.03498215985036 40.61096444045267, -74.03494106496716 40.61105051847989, -74.03489256462471 40.61113432852558, -74.03461872576587 40.611450173727874, -74.03430375819211 40.61181455603845)))",5.317,No,Neighborhood Park
30,Fort Stirling Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11201,"MULTIPOLYGON (((-73.9966593914142 40.69862069428496, -73.99628992628078 40.698520073237, -73.99632954880644 40.69843699504713, -73.99638941426979 40.6983124371825, -73.99681516426283 40.69842958658669, -73.99683738424886 40.698435954721646, -73.99677873234116 40.69855929986126, -73.9966989484674 40.698537543025616, -73.9966593914142 40.69862069428496)))",0.214,No,Triangle/Plaza
31,Freedom Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,11221,"MULTIPOLYGON (((-73.93181660333437 40.69727087030175, -73.93170310497646 40.6972921793766, -73.9317693674725 40.697245647764824, -73.93181660333437 40.69727087030175)))",0.004,No,Triangle/Plaza
32,Fulton Park,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,11233,"MULTIPOLYGON (((-73.93160144190735 40.68006035000778, -73.93148968534568 40.679516530267556, -73.93425588805736 40.679665378219994, -73.93427435568356 40.67975210562757, -73.93160144190735 40.68006035000778)))",1.987,No,Neighborhood Park
33,Grant Gore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,11216,"MULTIPOLYGON (((-73.95277740492178 40.67658189042098, -73.95280148319182 40.6763462661796, -73.95286285441283 40.67635043821004, -73.95277740492178 40.67658189042098)))",0.019,No,Triangle/Plaza
34,Gravesend Park,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,11204,"MULTIPOLYGON (((-73.98472205000172 40.62439683282924, -73.98285431450154 40.62346996128497, -73.98278865993643 40.62343737876037, -73.98254685330436 40.623317376811315, -73.98258326009142 40.62328241243322, -73.98263013479306 40.623237395317894, -73.98266366650329 40.623205192374975, -73.98328202802496 40.62356151262167, -73.98413259657755 40.62274461102372, -73.98563389403405 40.623478540562566, -73.98472205000172 40.62439683282924)))",6.379,No,Neighborhood Park
35,Greenpoint Playground,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6875,11222,"MULTIPOLYGON (((-73.95866350643134 40.73562462109388, -73.95965823566655 40.73552349382001, -73.95872673379581 40.73604646867355, -73.95866350643134 40.73562462109388)))",0.504,No,Playground
36,Dr. Ronald McNair Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8125,11225,"MULTIPOLYGON (((-73.96190900002155 40.670174587827425, -73.96206537771329 40.66974145911464, -73.96215636361157 40.670208459505226, -73.9622006353241 40.67043568672191, -73.96232761126973 40.67108738816287, -73.96232872925077 40.671093093293955, -73.96236192856222 40.67126351949255, -73.96208779756486 40.67120662767452, -73.961574819914 40.671100164251555, -73.9616593605655 40.67086601702657, -73.9617393636912 40.67064443311623, -73.96190900002155 40.670174587827425)))",1.361,No,Neighborhood Park
37,Heisser Triangle,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6875,11237,"MULTIPOLYGON (((-73.91777998309018 40.69877822338224, -73.91788691531501 40.69866604091647, -73.91803875695365 40.69875070908272, -73.91777998309018 40.69877822338224)))",0.027,No,Triangle/Plaza
38,Irving Square Park,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8125,11207,"MULTIPOLYGON (((-73.90823475719237 40.69293063500905, -73.9095412949636 40.69161242258424, -73.91013412919851 40.69195494079343, -73.90882759639923 40.693273186907106, -73.90823475719237 40.69293063500905)))",2.76,No,Neighborhood Park
45,Martin Luther King Jr. Playground,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,11207,"MULTIPOLYGON (((-73.88989700237092 40.66706529016552, -73.89060969734184 40.66696011796084, -73.89095736366379 40.66830938644433, -73.89024713309334 40.66841419483917, -73.88989700237092 40.66706529016552)))",2.29,No,Playground
48,McLaughlin Park,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,11201,"MULTIPOLYGON (((-73.98514060716049 40.69672526852312, -73.98516794175015 40.69624096291713, -73.98695281369714 40.69630696063756, -73.98693471234658 40.69678555666031, -73.98514060716049 40.69672526852312)))",1.976,No,Recreation Field/Courts
49,Owl's Head Park,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,11220,"MULTIPOLYGON (((-74.03051362651304 40.63968915050582, -74.03101350312126 40.63844462333887, -74.03538813882341 40.63980389000776, -74.03529296414618 40.639929393918926, -74.03519060104247 40.6400515707323, -74.03508124796438 40.64017018083036, -74.0349651199241 40.64028499359508, -74.03484244258198 40.640395784708666, -74.03471345697507 40.64050233615197, -74.03457841479127 40.64060444070903, -74.03443757955003 40.640701899265125, -74.03429122660198 40.640794520807106, -74.03413964312999 40.64088212332405, -74.03398312342162 40.64096453741097, -74.03382197477708 40.64104159996365, -74.03365651278412 40.64111316228481, -74.03348705895021 40.64117908288098, -74.03330091832491 40.64123067810996, -74.03311190624687 40.641275810843105, -74.03292041047439 40.641314390903524, -74.03272681995647 40.641346338022046, -74.03253153192811 40.64137158813903, -74.0323349448143 40.64139008800328, -74.03213746177832 40.641401800574165, -74.03193948480927 40.641406702322136, -74.0317414194494 40.6414047823264, -74.03154367006682 40.64139604587877, -74.03134664221635 40.641380509079596, -74.0311507367312 40.641358205143234, -74.03095635563082 40.64132917899307, -74.03076389502817 40.641293489964994, -74.03057374867589 40.64125121180642, -74.03038630560017 40.64120242997523, -74.03020194891927 40.6411472443415, -74.03002105465988 40.64108576738653, -74.02984399412178 40.641018125102875, -74.02967112678381 40.640944456995655, -74.02950280857736 40.640864911577864, -74.02933938124875 40.64077965267656, -74.03051362651304 40.63968915050582)))",24.218,No,Neighborhood Park
50,Machate Circle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6875,11215,"MULTIPOLYGON (((-73.97219014196395 40.65133354946292, -73.9721288999062 40.651329953280545, -73.97206909619545 40.65131927934793, -73.97201213183378 40.65130177745144, -73.97195934390513 40.65127785765672, -73.97191196892425 40.6512480812938, -73.97187111683064 40.65121314564135, -73.97183774498173 40.65117387041146, -73.97181263688046 40.651131175230994, -73.97179637971945 40.65108606072418, -73.97178935493365 40.65103958509632, -73.9717917275721 40.65099283801572, -73.9718034415824 40.65094691359674, -73.9718242221858 40.650902890589244, -73.97185358298795 40.65086179816067, -73.9718908354456 40.65082460149108, -73.9719351054332 40.650792172060406, -73.97198535689786 40.65076526964499, -73.97204041078412 40.65074452521327, -73.972098978146 40.65073042382451, -73.97215968497771 40.65072329743186, -73.97222110768753 40.65072331228376, -73.97228180856608 40.6507304680326, -73.97234036416053 40.650744597741465, -73.97239540074207 40.65076536879287, -73.97244562976934 40.65079229550428, -73.97248987271313 40.65082474633724, -73.97252709415412 40.65086196101448, -73.9725564206934 40.65090306763353, -73.9725771645925 40.65094710068159, -73.97258884031511 40.65099303075616, -73.97259117398194 40.65103977897474, -73.9725841104525 40.65108625119608, -73.9725678156844 40.65113135783188, -73.97254267199467 40.65117404086156, -73.97250926740999 40.65121329994503, -73.97246838619986 40.65124821583451, -73.97242098640491 40.65127796928107, -73.9723681785456 40.65130186354289, -73.97231119960456 40.65131933788809, -73.9722513870073 40.65132998289772, -73.97219014196395 40.65133354946292)))",4.32,No,Triangle/Plaza
57,Saratoga Park,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.625,11233,"MULTIPOLYGON (((-73.91770512122248 40.684846803167105, -73.9201877821644 40.6845601982516, -73.92030025046228 40.685113498985146, -73.91780474918319 40.68540147313622, -73.91770512122248 40.684846803167105)))",3.214,No,Neighborhood Park
